time,injection_porepressure,injection_temperature,inlet_enthalpy_J,inlet_mass_kg,outlet_enthalpy_J,outlet_mass_kg,production_porepressure,production_temperature
0,0,0,0,0,0,0,0,0
1000,27986353.232642,398.90129671533,-411478506.9925,-750,409375076.81177,750,27641205.629384,398.56961185838
3000,28023917.143659,399.08584758735,-822996710.21167,-1500,819018185.06446,1500,27677563.707773,398.58776925745
7000,28033978.475174,399.13689283483,-1646014943.6696,-3000,1638105665.2324,3000,27687697.261774,398.58769793322
15000,28034254.396992,399.14431749285,-3292033422.948,-6000,3275991760.3602,6000,27687998.64583,398.57729287668
31000,28032520.868395,399.14581933613,-6584072007.1798,-12000,6551312770.9601,12000,27686278.227025,398.56295254366
63000,28030607.909646,399.14835485923,-13168273596.129,-24000,13101291244.678,24000,27684390.78515,398.54907774628
127000,28029058.500162,399.15589680518,-26337803802.705,-48000,26200838526.478,48000,27682884.378531,398.54017481086
255000,28029075.348668,399.18287144603,-52686133549.035,-96000,52400660849.809,96000,27682972.963064,398.53731851008
511000,28033072.957219,399.28795711664,-105457158702.38,-192000,104802949026.13,192000,27687131.137518,398.53825713082
943000,28045542.810785,399.62243714667,-178416516256.23,-324000,176867354858.07,324000,27700018.165704,398.54487224493
