TIME(S)",Time_years,cs05rc B13 PRES,cs05rc B13 TEMP,SAT_G",SAT_L
1,3.1688087814028947E-8,29689400.499000002,125.99167792999999,0,1
3,9.5064263442086848E-8,29644622.355999999,125.99109926,0,1
7,2.2181661469820265E-7,29618339.721999999,125.99201823999999,0,1
15,4.7532131721043423E-7,29597250.715,125.99463455,0,1
31,9.8233072223489744E-7,29578446.905999999,125.99967622,0,1
63,1.9963495322838237E-6,29561423.193,126.00762044,0,1
127,4.0243871523816764E-6,29547381.561000001,126.01783786999999,0,1
255,8.0804623925773816E-6,29538481.645,126.02841038,0,1
511,1.6192612872968792E-5,29534938.351,126.03710457,0,1
1023,3.2416913833751613E-5,29534703.953000002,126.04304992,0,1
1535,4.8641214794534437E-5,29535445.714000002,126.04586745,0,1
2559,8.1089816716100086E-5,29537317.204999998,126.04871573,0,1
3583,1.1353841863766573E-4,29539231.625,126.05058757,0,1
5631,1.7843562248079701E-4,29543020.125999998,126.05294703,0,1
9727,3.082300301670596E-4,29550525.500999998,126.05579965,0,1
17919,5.6781884553958474E-4,29565486.800999999,126.05915016,0,1
26111,8.2740766091210993E-4,29580506.875,126.06150855,0,1
42495,1.3465852916571602E-3,29610445.715999998,126.06475669,0,1
75263,2.384940553147261E-3,29670261.826000001,126.06934219,0,1
86400,2.7378507871321013E-3,29690848.502,126.07076589,0,1
108674,3.4436712551017823E-3,29731877.506000001,126.07327635,0,1
153222,4.8553121910411435E-3,29813569.478999998,126.07761025000001,0,1
242318,7.6785940629198668E-3,29975958.346999999,126.08504033,0,1
420510,1.3325157806677314E-2,30297502.515000001,126.09829238,0,1
598702,1.8971721550434761E-2,30618128.283,126.11246174,0,1
687798,2.1795003422313483E-2,30778957.576000001,126.12015885,0,1
865990,2.7441567166070931E-2,31096495.945,126.14347873,0,1
1222374,3.8734694653585824E-2,31718366.416999999,126.32779856000001,0,1
1935142,6.1320949628615611E-2,32895828.785,128.07106142999999,0,1
2592000,8.2135523613963035E-2,33909350.208999999,131.03425142,0,1
3304768,0.10472177858899283,34895308.310999997,135.44786167000001,0,1
4017536,0.12730803356402262,35756069.766999997,140.40603189000001,0,1
5443072,0.17248054351408218,37026525.912,149.28682205000001,0,1
6868608,0.21765305346414177,37954141.887000002,156.1668502,0,1
7889400,0.25,38479184.072999999,160.06496055,0,1
7911674,0.25070582046796969,38810173.913000003,152.31642273,0,1
7933948,0.25141164093593937,38806284.965999998,149.64259949000001,0,1
7978496,0.25282328187187875,38798367.794,148.15108862,0,1
8067592,0.25564656374375744,38783219.817000002,147.35510189999999,0,1
8245784,0.26129312748751488,38754852.152000003,146.94222253999999,0,1
8602168,0.27258625497502981,38703127.376000002,146.76524817999999,0,1
8958552,0.28387938246254468,38655109.071999997,146.7337081,0,1
9314936,0.29517250995005956,38609951.803999998,146.74635205999999,0,1
10027704,0.31775876492508937,38527472.465000004,146.80838123000001,0,1
11453240,0.36293127487514892,38382165.210000001,146.93294187000001,0,1
14304312,0.4532762947752681,38136090.799999997,147.11091187,0,1
15778800,0.5,38018215.718000002,147.18559042000001,0,1
15778821.752,0.50000068927928609,37727230.902999997,149.75700178,0,1
15778843.504000001,0.5000013785585723,37706577.120999999,151.76558327999999,0,1
15778887.007999999,0.50000275711714448,37693135.839000002,154.26306183,0,1
15778974.016000001,0.50000551423428907,37684113.022,156.39008670000001,0,1
15779148.030999999,0.50001102843688994,37679048.990999997,157.17411444999999,0,1
15779496.062000001,0.50002205687377999,37676361.123000003,156.78116709,0,1
15780192.125,0.50004411377924807,37674517.226000004,156.27887788999999,0,1
15780888.187999999,0.50006617068471615,37673354.066,156.11790593000001,0,1
15781584.25,0.50008822755849625,37672381.836000003,156.07238598000001,0,1
15782280.312000001,0.50011028443227623,37671481.262999997,156.05957666,0,1
15783672.437999999,0.50015439824321239,37669765.230999999,156.05636243000001,0,1
15786456.687999999,0.50024262580170864,37666415.862000003,156.06237687999999,0,1
15792025.187999999,0.50041908091870102,37659765.365999997,156.08321731999999,0,1
15803162.187999999,0.50077199115268589,37646474.520000003,156.13199961000001,0,1
15825436.187999999,0.50147781162065552,37619912.258000001,156.23290434,0,1
15869984.187999999,0.5028894525565949,37566982.892999999,156.42751344000001,0,1
15959080.187999999,0.50571273442847364,37461380.964000002,156.78237084,0,1
16137272.187999999,0.51135929817223102,37249437.097000003,157.40898007000001,0,1
16493656.187999999,0.52265242565974601,36820386.717,158.46283978,0,1
16850040.188000001,0.53394555314726089,36390268.898999996,159.3077638,0,1
17562808.188000001,0.55653180812229075,35536907.410999998,159.68680952,0,1
18988344.188000001,0.60170431807235025,34072978.413000003,155.87209644999999,0,1
20413880.188000001,0.64687682802240987,32936635.75,150.08917294,0,1
23264952.188000001,0.73722184792252898,31646105.554000001,140.54948019,0,1
23668200,0.75,31483751.598000001,139.26675086,0,1
23690474,0.75070582046796963,31864534.397,139.67039595,0,1
23712748,0.75141164093593937,31865436.017999999,139.78268940999999,0,1
23735022,0.752117461403909,31866031.664999999,139.81105482999999,0,1
23779570,0.75352910233984838,31867132.93,139.79920779,0,1
23868666,0.75635238421172712,31869117.758000001,139.73453846000001,0,1
24046858,0.76199894795548462,31872390.662999999,139.59967447,0,1
24403242,0.77329207544299949,31877012.318,139.37882966999999,0,1
25116010,0.79587833041802925,31881981.039000001,139.06389768,0,1
26541546,0.84105084036808886,31884559.346999999,138.64369676000001,0,1
27967082,0.88622335031814836,31883648.903000001,138.32192143,0,1
30818154,0.97656837021826759,31876569.081999999,137.83769973,0,1
31557600,1,31874523.715999998,137.72017188000001,0,1
31557643.504000001,1.0000013785585722,31537331.822000001,137.99302541,0,1
31557687.008000001,1.0000027571171446,31515461.065000001,138.18450439,0,1
31557774.015999999,1.000005514234289,31502951.885000002,138.40810558999999,0,1
31557948.030999999,1.0000110284368899,31496804.785999998,138.58618802000001,0,1
31558296.061999999,1.0000220568737799,31495030.820999999,138.65064959,0,1
31558644.094000001,1.000033085342358,31495025.609999999,138.65240589000001,0,1
31558992.125,1.0000441137792482,31495388.789000001,138.64631482999999,0,1
31559688.188000001,1.0000661706847163,31496337.815000001,138.63947959000001,0,1
31561080.311999999,1.0001102844322762,31498308.881000001,138.63303654000001,0,1
31563864.561999999,1.0001985119907724,31502212.923,138.62302849,0,1
31569433.061999999,1.0003749671077649,31509968.805,138.60461536,0,1
31580570.061999999,1.0007278773417496,31525471.581999999,138.57050165999999,0,1
31591707.061999999,1.0010807875757346,31541078.539999999,138.53760647999999,0,1
31613981.061999999,1.0017866080437041,31572263.679000001,138.47323933000001,0,1
31658529.061999999,1.0031982489796436,31634839.309,138.34775225999999,0,1
31747625.061999999,1.0060215308515223,31760609.890000001,138.10935857999999,0,1
31836721.061999999,1.0088448127234011,31887767.721999999,137.88145055000001,0,1
32014913.061999999,1.0144913764671584,32142017.627,137.45488800000001,0,1
32104009.061999999,1.0173146583390371,32270809.249000002,137.24809862999999,0,1
32282201.061999999,1.0229612220827946,32527486.952,136.85758078999999,0,1
32371297.061999999,1.0257845039546734,32656823.730999999,136.66823004,0,1
32549489.061999999,1.0314310676984308,32914678.482999999,136.31751141999999,0,1
32905873.061999999,1.0427241951859456,33428120.506000001,135.83316481,0,1
33618641.061999999,1.0653104501609754,34421361.251000002,136.46491692999999,0,1
34331409.061999999,1.0878967051360053,35351931.097999997,138.78428901000001,0,1
35044177.061999999,1.1104829601110351,36190327.545000002,142.32706159,0,1
35756945.061999999,1.1330692150860648,36922878.898000002,146.44295382000001,0,1
36469713.061999999,1.1556554700610946,37549262.626999997,150.58394877999999,0,1
37182481.061999999,1.1782417250361243,38077685.052000001,154.40749742,0,1
38608017.061999999,1.2234142349861841,38838283.803999998,160.17023728000001,0,1
39447000,1.25,39204062.452,162.93207648000001,0,1
39469274,1.2507058204679697,39530915.780000001,156.47252096,0,1
39491548,1.2514116409359393,39527644.491999999,154.23809073000001,0,1
39513822,1.252117461403909,39524248.243000001,153.32097686,0,1
39558370,1.2535291023398485,39517627.520000003,152.65580901000001,0,1
39647466,1.2563523842117272,39504941.993000001,152.20646178999999,0,1
39825658,1.2619989479554845,39481149.417999998,151.93357348000001,0,1
40182042,1.2732920754429995,39437746.255999997,151.80081967000001,0,1
40538426,1.2845852029305143,39397433.020999998,151.77001675,0,1
41251194,1.3071714579055442,39324644.303000003,151.78552608000001,0,1
42676730,1.3523439678556037,39196625.963,151.83825100000001,0,1
45527802,1.442688987755723,38975938.204000004,151.88548483,0,1
47336400,1.5,38846157.126999997,151.89410853000001,0,1
47336421.751999997,1.5000006892792861,38560052.494000003,154.14754453,0,1
47336443.504000001,1.5000013785585722,38539690.928000003,155.89907248,0,1
47336487.008000001,1.5000027571171446,38526418.350000001,158.05580874,0,1
47336574.016000003,1.5000055142342892,38517545.564000003,159.86074873000001,0,1
47336748.031000003,1.5000110284368902,38512645.096000001,160.49576350000001,0,1
47337096.061999999,1.5000220568737799,38510092.420000002,160.14308528000001,0,1
47337792.125,1.5000441137792482,38508272.299000002,159.71868211,0,1
47338488.188000001,1.5000661706847163,38507058.928999998,159.58627322000001,0,1
47339184.25,1.5000882275584961,38506015.501000002,159.55022808999999,0,1
47339880.311999999,1.5001102844322762,38505037.506999999,159.54093850999999,0,1
47341272.438000001,1.5001543982432124,38503160.943999998,159.54009665999999,0,1
47344056.688000001,1.5002426258017088,38499484.691,159.54764352999999,0,1
47349625.188000001,1.500419080918701,38492172.729999997,159.56861986999999,0,1
47360762.188000001,1.500771991152686,38477551.428999998,159.61435374999999,0,1
47383036.188000001,1.5014778116206555,38448332.416000001,159.70556299,0,1
47427584.188000001,1.502889452556595,38390146.516000003,159.87778574000001,0,1
47516680.188000001,1.5057127344284738,38274261.924000002,160.18731271999999,0,1
47694872.188000001,1.511359298172231,38042521.575000003,160.72715682,0,1
48051256.188000001,1.522652425659746,37576347.258000001,161.62069797000001,0,1
48229448.188000001,1.5282989894035035,37345733.563000001,162.02518986000001,0,1
48585832.188000001,1.5395921168910183,36880330.256999999,162.60978896,0,1
49298600.188000001,1.5621783718660482,35970438.839000002,162.38460646999999,0,1
49654984.188000001,1.573471499353563,35529518.875,161.88987442999999,0,1
50367752.188000001,1.5960577543285928,34716104.086000003,159.54777935000001,0,1
51793288.188000001,1.6412302642786525,33456664.528999999,152.80668521000001,0,1
54644360.188000001,1.7315752841787715,32036235.414000001,142.16500948999999,0,1
55225800,1.75,31790122.671999998,140.17876003999999,0,1
55248074,1.7507058204679697,32169056.260000002,141.48021026000001,0,1
55270348,1.7514116409359393,32170179.942000002,141.89380847999999,0,1
55292622,1.752117461403909,32171011.844999999,142.04087390999999,0,1
55314896,1.7528232818718787,32171818.691,142.09848873000001,0,1
55359444,1.754234922807818,32173367.107000001,142.12037305999999,0,1
55448540,1.7570582046796968,32176223.377999999,142.08414088999999,0,1
55626732,1.7627047684234542,32181145.554000001,141.96770645000001,0,1
55983116,1.7739978959109692,32188749.702,141.75473205,0,1
56695884,1.796584150885999,32198751.719000001,141.43721310000001,0,1
58121420,1.8417566608360585,32209171.649,141.00321027999999,0,1
59546956,1.886929170786118,32214764.085999999,140.66709245999999,0,1
62398028,1.9772741906862372,32218253.375,140.15809866999999,0,1
63115200,2,32218826.945,140.03784112,0,1
63115243.504000001,2.0000013785585722,31884045.267999999,139.73950414999999,0,1
63115287.008000001,2.0000027571171444,31862357.170000002,139.60826028,0,1
63115374.016000003,2.0000055142342892,31850043.951000001,139.62118909,0,1
63115548.031000003,2.0000110284368899,31844121.579,139.80210686000001,0,1
63115896.061999999,2.0000220568737799,31842512.581999999,139.98397790000001,0,1
63116244.093999997,2.0000330853423578,31842557.287999999,140.04870442999999,0,1
63116592.125,2.0000441137792482,31842926.293000001,140.06841729999999,0,1
63117288.188000001,2.000066170684716,31843846.993000001,140.07249935999999,0,1
63118680.311999999,2.0001102844322762,31845744.318,140.06611771999999,0,1
63121464.561999999,2.0001985119907726,31849503.462000001,140.05102883000001,0,1
63127033.061999999,2.0003749671077649,31856982.348999999,140.02428556999999,0,1
63138170.061999999,2.0007278773417498,31871947.745000001,139.97834075,0,1
63160444.061999999,2.0014336978097194,31901946.712000001,139.89627483000001,0,1
63204992.061999999,2.0028453387456588,31962314.136999998,139.74468198,0,1
63294088.061999999,2.0056686206175374,32084017.442000002,139.4666541,0,1
63472280.061999999,2.0113151843612949,32329403.497000001,138.96641837000001,0,1
63561376.061999999,2.0141384662331734,32454375.195,138.72720036000001,0,1
63739568.061999999,2.0197850299769309,32703789.48,138.28059927000001,0,1
63828664.061999999,2.0226083118488098,32829719.006999999,138.06468575,0,1
64006856.061999999,2.0282548755925673,33080978.896000002,137.66205134,0,1
64363240.061999999,2.0395480030800819,33582624.259000003,137.05144207999999,0,1
64541432.061999999,2.0451945668238394,33835505.026000001,136.80896745999999,0,1
64897816.061999999,2.0564876943113544,34335851.902999997,136.70201750000001,0,1
65610584.061999999,2.0790739492863843,35281796.026000001,138.33551120999999,0,1
66323352.061999999,2.1016602042614139,36146037.420999996,141.47108861999999,0,1
67036120.061999999,2.1242464592364438,36908344.629000001,145.44027818999999,0,1
67748888.062000006,2.1468327142114738,37563889.122000001,149.61235529999999,0,1
68461656.062000006,2.1694189691865038,38118472.850000001,153.56040811,0,1
69174424.062000006,2.1920052241615333,38583442.501000002,157.06645918999999,0,1
70599960.062000006,2.2371777341115928,39251609.548,162.17903348999999,0,1
71004600,2.25,39423123.247000001,163.48319881,0,1
71026874,2.2507058204679695,39749261.612999998,157.62444631,0,1
71049148,2.2514116409359395,39746165.550999999,155.59836910000001,0,1
71071422,2.252117461403909,39742942.994000003,154.76779110999999,0,1
71115970,2.2535291023398485,39736665.593000002,154.16770553000001,0,1
71205066,2.256352384211727,39724656.932999998,153.76689586000001,0,1
71383258,2.2619989479554845,39702201.327,153.53177688,0,1
71739642,2.2732920754429995,39661466.174999997,153.43112163000001,0,1
72096026,2.2845852029305145,39623834.548,153.41898151000001,0,1
72808794,2.307171457905544,39556503.811999999,153.45521085999999,0,1
74234330,2.3523439678556035,39439530.608000003,153.52927303999999,0,1
77085402,2.442688987755723,39239827.122000001,153.59431873,0,1
78894000,2.5,39122633.681000002,153.60874803999999,0,1
78894021.752000004,2.5000006892792861,38837798.689999998,155.66816162000001,0,1
78894043.503999993,2.5000013785585722,38817481.490999997,157.26683245000001,0,1
78894087.008000001,2.5000027571171444,38804221.375,159.22584294999999,0,1
78894174.016000003,2.5000055142342892,38795360.155000001,160.84190303,0,1
78894348.031000003,2.5000110284368899,38790485.588,161.36907685,0,1
78894696.062000006,2.5000220568737803,38787965.229999997,161.00073445000001,0,1
78895392.125,2.5000441137792482,38786156.866999999,160.59206816,0,1
78896088.187999994,2.500066170684716,38784935.557999998,160.46628425,0,1
78896784.25,2.5000882275584964,38783877.739,160.43177883000001,0,1
78897480.312000006,2.5001102844322762,38782883.206,160.42238449000001,0,1
78898872.437999994,2.5001543982432124,38780971.479000002,160.42035507,0,1
78901656.687999994,2.5002426258017083,38777223.596000001,160.42563466999999,0,1
78907225.187999994,2.500419080918701,38769768.164999999,160.44317649999999,0,1
78918362.187999994,2.5007719911526856,38754862.626999997,160.48400957000001,0,1
78940636.187999994,2.5014778116206555,38725084.792000003,160.56821117000001,0,1
78985184.187999994,2.5028894525565946,38665811.001000002,160.73025899999999,0,1
79074280.187999994,2.5057127344284735,38547833.538000003,161.02497030000001,0,1
79252472.187999994,2.511359298172231,38312127.707999997,161.54300429,0,1
79608856.187999994,2.5226524256597456,37838617.034999996,162.40397887,0,1
79787048.187999994,2.5282989894035031,37604499.251000002,162.79399538000001,0,1
80143432.187999994,2.539592116891018,37132461.600000001,163.35455293000001,0,1
80856200.187999994,2.562178371866048,36210454.517999999,163.09269853999999,0,1
81212584.187999994,2.573471499353563,35763791.559,162.58158191000001,0,1
81925352.187999994,2.5960577543285925,34939811.256999999,160.20890627,0,1
83350888.187999994,2.641230264278652,33662736.941,153.40606471000001,0,1
84776424.187999994,2.6864027742287115,32732022.73,146.86357344000001,0,1
86783400,2.75,31899493.745999999,140.08890718000001,0,1
86827948,2.7514116409359395,32279949.592,142.28705391,0,1
86872496,2.7528232818718785,32282044.721000001,142.73915728,0,1
86917044,2.754234922807818,32283936.771000002,142.84789905,0,1
87006140,2.757058204679697,32287470.495000001,142.85438255,0,1
87184332,2.7627047684234545,32293708.048,142.76030632999999,0,1
87540716,2.773997895910969,32303791.614999998,142.56099534000001,0,1
88253484,2.796584150885999,32318232.719999999,142.25429932,0,1
89679020,2.8417566608360585,32336014.083000001,141.83205104999999,0,1
92530092,2.9321016807361775,32354508.993000001,141.25990636,0,1
94672800,3,32363640.050000001,140.90783963999999,0,1
94672843.503999993,3.0000013785585722,32029114.405000001,140.23319935000001,0,1
94672887.008000001,3.0000027571171444,32007449.872000001,139.89085181999999,0,1
94672974.016000003,3.0000055142342892,31995202.436000001,139.76464064000001,0,1
94673148.031000003,3.0000110284368899,31989388.318999998,139.94157035000001,0,1
94673496.062000006,3.0000220568737803,31987876.245999999,140.19415481999999,0,1
