time,injection_porepressure,injection_temperature,inlet_enthalpy_J,inlet_mass_kg,outlet_enthalpy_J,outlet_mass_kg,production_porepressure,production_temperature
0,0,0,0,0,0,0,0,0
1000,27643187.579237,398.58004155009,-411477169.01462,-750,409407027.03476,750,27983819.385241,398.89662649919
3000,27677378.367808,398.59643037455,-822996376.47142,-1500,819071574.95813,1500,28023601.219258,399.08483763524
7000,27687418.806548,398.59436131812,-1646014484.7592,-3000,1638188607.6243,3000,28033761.257829,399.13682419533
15000,27687721.845486,398.58212822692,-3292032494.8912,-6000,3276112385.1953,6000,28034034.738792,399.14435692933
31000,27686007.245897,398.56594424449,-6584070064.4757,-12000,6551462404.9292,12000,28032290.955829,399.14585176942
63000,27684120.676996,398.55034906354,-13168269471.97,-24000,13101417563.849,24000,28030363.862856,399.14837945338
127000,27682602.752883,398.54038113078,-26337794699.77,-48000,26200872677.297,48000,28028789.156105,399.15591373134
255000,27682649.325711,398.53719223817,-52686111821.68,-96000,52400586725.942,96000,28028753.873925,399.18287947229
511000,27686699.920045,398.53810545672,-105457100022.8,-192000,104802764465.9,192000,28032638.693793,399.28795867031
943000,27699354.344392,398.54468899103,-178416363730.28,-324000,176866949788.85,324000,28044873.162394,399.62243599596
