TIME(S)",Time_years,cs05rc A99 PRES,cs05rc A99 TEMP,SAT_G",SAT_L
1,3.1688087814028947E-8,30178598.515999999,128.05581011999999,0,1
3,9.5064263442086848E-8,30226304.980999999,131.85499786,0,1
7,2.2181661469820265E-7,30252703.528999999,138.42344391,0,1
15,4.7532131721043423E-7,30271963.927000001,148.42054869,0,1
31,9.8233072223489744E-7,30286348.344000001,160.67264537,0,1
63,1.9963495322838237E-6,30296061.833999999,171.44852965000001,0,1
127,4.0243871523816764E-6,30300925.256999999,177.49119898000001,0,1
255,8.0804623925773816E-6,30300786.682999998,179.46110049999999,0,1
511,1.6192612872968792E-5,30297451.605999999,179.82573231999999,0,1
1023,3.2416913833751613E-5,30293787.133000001,179.88268400999999,0,1
1535,4.8641214794534437E-5,30291926.666999999,179.90003966,0,1
2559,8.1089816716100086E-5,30290388.605999999,179.91492629999999,0,1
3583,1.1353841863766573E-4,30289924.061999999,179.92189228999999,0,1
5631,1.7843562248079701E-4,30290584.491999999,179.92624426,0,1
9727,3.082300301670596E-4,30294354.684,179.92768045,0,1
17919,5.6781884553958474E-4,30305171.789000001,179.9269113,0,1
26111,8.2740766091210993E-4,30317525.041999999,179.92545118000001,0,1
42495,1.3465852916571602E-3,30344170.181000002,179.92202105000001,0,1
75263,2.384940553147261E-3,30400267.653999999,179.91468015999999,0,1
86400,2.7378507871321013E-3,30419871.085000001,179.91211010000001,0,1
108674,3.4436712551017823E-3,30459348.493999999,179.90692897,0,1
153222,4.8553121910411435E-3,30538872.743999999,179.89648517000001,0,1
242318,7.6785940629198668E-3,30698503.409000002,179.87550718,0,1
420510,1.3325157806677314E-2,31016820.627,179.83362994000001,0,1
598702,1.8971721550434761E-2,31335310.050999999,179.79167206,0,1
687798,2.1795003422313483E-2,31495266.666000001,179.77057766999999,0,1
865990,2.7441567166070931E-2,31811392.162,179.72884569999999,0,1
1222374,3.8734694653585824E-2,32430758.419,179.64691995000001,0,1
1935142,6.1320949628615611E-2,33600585.295000002,179.49159988,0,1
2592000,8.2135523613963035E-2,34604354.566,179.35772663,0,1
3304768,0.10472177858899283,35577883.027000003,179.22736273000001,0,1
4017536,0.12730803356402262,36426242.752999999,179.11334398,0,1
5443072,0.17248054351408218,37677307.548,178.94450336,0,1
6868608,0.21765305346414177,38591741.843999997,178.820573,0,1
7889400,0.25,39109915.876999997,178.75015336000001,0,1
7911674,0.25070582046796969,38811695.946999997,178.73967042000001,0,1
7933948,0.25141164093593937,38807482.285999998,178.74201373,0,1
7978496,0.25282328187187875,38799554.372000001,178.74015270999999,0,1
8067592,0.25564656374375744,38784408.647,178.7208488,0,1
8245784,0.26129312748751488,38756053.211000003,178.64030953,0,1
8602168,0.27258625497502981,38704351.042000003,178.37450240000001,0,1
8958552,0.28387938246254468,38656351.445,178.04131587000001,0,1
9314936,0.29517250995005956,38611209.365999997,177.66491757,0,1
10027704,0.31775876492508937,38528749.975000001,176.83899880999999,0,1
11453240,0.36293127487514892,38383457.520999998,175.19480003000001,0,1
14304312,0.4532762947752681,38137366.177000001,172.39207421,0,1
15778800,0.5,38019474.435999997,171.08213752,0,1
15778821.752,0.50000068927928609,38271491.941,150.00043391,0,1
15778843.504000001,0.5000013785585723,38297480.066,138.65367939999999,0,1
15778887.007999999,0.50000275711714448,38318965.236000001,130.21958022999999,0,1
15778974.016000001,0.50000551423428907,38337183.148000002,126.34525023,0,1
15779148.030999999,0.50001102843688994,38350239.265000001,125.32429866,0,1
15779496.062000001,0.50002205687377999,38358564.487000003,125.16198993,0,1
15780192.125,0.50004411377924807,38363919.708999999,125.12933111,0,1
15780888.187999999,0.50006617068471615,38366459.266999997,125.11727718,0,1
15781584.25,0.50008822755849625,38367894.538999997,125.11103394,0,1
15782280.312000001,0.50011028443227623,38368771.588,125.10763411000001,0,1
15783672.437999999,0.50015439824321239,38369465.557999998,125.10498303,0,1
15786456.687999999,0.50024262580170864,38369184.310000002,125.10365484,0,1
15792025.187999999,0.50041908091870102,38366136.138999999,125.10360256,0,1
15803162.187999999,0.50077199115268589,38356756.555,125.10499593,0,1
15825436.187999999,0.50147781162065552,38334196.556000002,125.10878425999999,0,1
15869984.187999999,0.5028894525565949,38285146.642999999,125.11714440999999,0,1
15959080.187999999,0.50571273442847364,38183090.715000004,125.1345685,0,1
16137272.187999999,0.51135929817223102,37974018.868000001,125.17026248000001,0,1
16493656.187999999,0.52265242565974601,37546817.605999999,125.24316063000001,0,1
16850040.188000001,0.53394555314726089,37117466.237000003,125.3163737,0,1
17562808.188000001,0.55653180812229075,36265878.050999999,125.46143067,0,1
18988344.188000001,0.60170431807235025,34811056.32,125.7087566,0,1
20413880.188000001,0.64687682802240987,33687015.25,125.89942546,0,1
23264952.188000001,0.73722184792252898,32417775.317000002,126.11427538,0,1
23668200,0.75,32258508.368000001,126.14120133,0,1
23690474,0.75070582046796963,31864199.083000001,126.13634190000001,0,1
23712748,0.75141164093593937,31864653.660999998,126.142233,0,1
23735022,0.752117461403909,31865248.289999999,126.14688987,0,1
23779570,0.75352910233984838,31866350.045000002,126.15471209,0,1
23868666,0.75635238421172712,31868335.295000002,126.17082899,0,1
24046858,0.76199894795548462,31871609.030000001,126.21257801,0,1
24403242,0.77329207544299949,31876233.138,126.32842047,0,1
25116010,0.79587833041802925,31881208.943,126.62031469,0,1
26541546,0.84105084036808886,31883806.508000001,127.22042882,0,1
27967082,0.88622335031814836,31882918.195,127.76125722,0,1
30818154,0.97656837021826759,31875886.186000001,128.56171484999999,0,1
31557600,1,31873853.359000001,128.75099892,0,1
31557643.504000001,1.0000013785585722,32204124.074000001,160.92228578999999,0,1
31557687.008000001,1.0000027571171446,32220476.309999999,172.77695374999999,0,1
31557774.015999999,1.000005514234289,32224921.375999998,178.07319835000001,0,1
31557948.030999999,1.0000110284368899,32223391.739,179.40972375000001,0,1
31558296.061999999,1.0000220568737799,32219649.210999999,179.60728254,0,1
31558644.094000001,1.000033085342358,32217395.166000001,179.63443351000001,0,1
31558992.125,1.0000441137792482,32215960.813999999,179.64622836000001,0,1
31559688.188000001,1.0000661706847163,32214352.715,179.65862227,0,1
31561080.311999999,1.0001102844322762,32213073.761,179.66839342,0,1
31563864.561999999,1.0001985119907724,32213215.346000001,179.67334542,0,1
31569433.061999999,1.0003749671077649,32216896.669,179.67458717,0,1
31580570.061999999,1.0007278773417496,32228212.27,179.67357140999999,0,1
31591707.061999999,1.0010807875757346,32241241.995000001,179.67195078,0,1
31613981.061999999,1.0017866080437041,32269399.77,179.66826259000001,0,1
31658529.061999999,1.0031982489796436,32328781.765000001,179.66041497000001,0,1
31747625.061999999,1.0060215308515223,32451505.309999999,179.64416782000001,0,1
31836721.061999999,1.0088448127234011,32576972.59,179.62754557,0,1
32014913.061999999,1.0144913764671584,32829595.32,179.59404889000001,0,1
32104009.061999999,1.0173146583390371,32957885.318999998,179.57702455,0,1
32282201.061999999,1.0229612220827946,33214037.541000001,179.54300494,0,1
32371297.061999999,1.0257845039546734,33343221.407000002,179.52583429000001,0,1
32549489.061999999,1.0314310676984308,33600932.391999997,179.49155257000001,0,1
32905873.061999999,1.0427241951859456,34114041.524999999,179.42318802,0,1
33618641.061999999,1.0653104501609754,35103574.825000003,179.29094040999999,0,1
34331409.061999999,1.0878967051360053,36027131.968000002,179.16703215999999,0,1
35044177.061999999,1.1104829601110351,36856535.560000002,179.05536656999999,0,1
35756945.061999999,1.1330692150860648,37579731.704000004,178.95770221999999,0,1
36469713.061999999,1.1556554700610946,38197496.616999999,178.87405797,0,1
37182481.061999999,1.1782417250361243,38718522.741999999,178.80335701000001,0,1
38608017.061999999,1.2234142349861841,39468833.840000004,178.70129577,0,1
39447000,1.25,39829995.553999998,178.65206526,0,1
39469274,1.2507058204679697,39532245.223999999,178.64167671000001,0,1
39491548,1.2514116409359393,39528657.490999997,178.64428279000001,0,1
39513822,1.252117461403909,39525252.963,178.64500143999999,0,1
39558370,1.2535291023398485,39518630.130000003,178.64185219000001,0,1
39647466,1.2563523842117272,39505948.005000003,178.62322427000001,0,1
39825658,1.2619989479554845,39482165.556000002,178.55149244,0,1
40182042,1.2732920754429995,39438780.660999998,178.32084470999999,0,1
40538426,1.2845852029305143,39398482.642999999,178.03359257,0,1
41251194,1.3071714579055442,39325714.722000003,177.35365296000001,0,1
42676730,1.3523439678556037,39197714.571000002,175.93228151,0,1
45527802,1.442688987755723,38977019.663000003,173.44823844000001,0,1
47336400,1.5,38847223.546999998,172.04556529000001,0,1
47336421.751999997,1.5000006892792861,39098631.734999999,150.47056047000001,0,1
47336443.504000001,1.5000013785585722,39124605.560000002,138.85354135,0,1
47336487.008000001,1.5000027571171446,39146102.723999999,130.21161526,0,1
47336574.016000003,1.5000055142342892,39164345.251000002,126.23749087,0,1
47336748.031000003,1.5000110284368902,39177434.983000003,125.18891544,0,1
47337096.061999999,1.5000220568737799,39185786.682999998,125.02205763000001,0,1
47337792.125,1.5000441137792482,39191127.747000001,124.98855338,0,1
47338488.188000001,1.5000661706847163,39193627.068000004,124.97622004999999,0,1
47339184.25,1.5000882275584961,39195009.155000001,124.96984227999999,0,1
47339880.311999999,1.5001102844322762,39195825.954000004,124.96637599,0,1
47341272.438000001,1.5001543982432124,39196384.925999999,124.96368871999999,0,1
47344056.688000001,1.5002426258017088,39195811.482000001,124.96237834999999,0,1
47349625.188000001,1.500419080918701,39192146.166000001,124.96241859,0,1
47360762.188000001,1.500771991152686,39181491.572999999,124.964027,0,1
47383036.188000001,1.5014778116206555,39156347.832000002,124.96826077,0,1
47427584.188000001,1.502889452556595,39102144.604000002,124.97751314999999,0,1
47516680.188000001,1.5057127344284738,38989963.108000003,124.99669202,0,1
47694872.188000001,1.511359298172231,38761342.946999997,125.03577504,0,1
48051256.188000001,1.522652425659746,38297411.950999998,125.11504204000001,0,1
48229448.188000001,1.5282989894035035,38067518.965999998,125.15429913,0,1
48585832.188000001,1.5395921168910183,37602918.604000002,125.23358953,0,1
49298600.188000001,1.5621783718660482,36695477.848999999,125.38827947999999,0,1
49654984.188000001,1.573471499353563,36256232.998999998,125.46307212000001,0,1
50367752.188000001,1.5960577543285928,35447950.901000001,125.60055724,0,1
51793288.188000001,1.6412302642786525,34201990.884999998,125.81211739,0,1
54644360.188000001,1.7315752841787715,32804438.596999999,126.04887427,0,1
55225800,1.75,32562982.603,126.08972018999999,0,1
55248074,1.7507058204679697,32168670.170000002,126.08489394999999,0,1
55270348,1.7514116409359393,32169351.434,126.09088559999999,0,1
55292622,1.752117461403909,32170183.714000002,126.09568609999999,0,1
55314896,1.7528232818718787,32170991.517000001,126.09993454000001,0,1
55359444,1.754234922807818,32172540.565000001,126.10800484000001,0,1
55448540,1.7570582046796968,32175396.914000001,126.1262184,0,1
55626732,1.7627047684234542,32180318.789000001,126.17490601999999,0,1
55983116,1.7739978959109692,32187923.054000001,126.31068316,0,1
56695884,1.796584150885999,32197928.221000001,126.65601066000001,0,1
58121420,1.8417566608360585,32208361.949000001,127.38254834999999,0,1
59546956,1.886929170786118,32213972.719999999,128.05220335000001,0,1
62398028,1.9772741906862372,32217505.93,129.07863460999999,0,1
63115200,2,32218090.877999999,129.31718284999999,0,1
63115243.504000001,2.0000013785585722,32547995.796,161.09639189999999,0,1
63115287.008000001,2.0000027571171444,32564400.219000001,172.80957063,0,1
63115374.016000003,2.0000055142342892,32568887.629999999,178.04506115000001,0,1
63115548.031000003,2.0000110284368899,32567378.864,179.36704262000001,0,1
63115896.061999999,2.0000220568737799,32563639.149,179.56256847,0,1
63116244.093999997,2.0000330853423578,32561378.445999999,179.58943153999999,0,1
63116592.125,2.0000441137792482,32559934.122000001,179.60108724,0,1
63117288.188000001,2.000066170684716,32558301.037,179.61332368000001,0,1
63118680.311999999,2.0001102844322762,32556967.671999998,179.62296595999999,0,1
63121464.561999999,2.0001985119907726,32556994.568,179.62785851000001,0,1
63127033.061999999,2.0003749671077649,32560437.390999999,179.62910435000001,0,1
63138170.061999999,2.0007278773417498,32571261.798999999,179.62814398,0,1
63160444.061999999,2.0014336978097194,32597175.923999999,179.62483057,0,1
63204992.061999999,2.0028453387456588,32653713.274999999,179.61736468999999,0,1
63294088.061999999,2.0056686206175374,32772066.305,179.60167756999999,0,1
63472280.061999999,2.0113151843612949,33014827.375,179.56946421000001,0,1
63561376.061999999,2.0141384662331734,33139048.533,179.55296745000001,0,1
63739568.061999999,2.0197850299769309,33387724.394000001,179.51991649999999,0,1
63828664.061999999,2.0226083118488098,33513444.478999998,179.50319436000001,0,1
64006856.061999999,2.0282548755925673,33764533.288000003,179.46977050999999,0,1
64363240.061999999,2.0395480030800819,34266005.832000002,179.40291303000001,0,1
64541432.061999999,2.0451945668238394,34518781.491999999,179.36916034999999,0,1
64897816.061999999,2.0564876943113544,35018217.998999998,179.30236905000001,0,1
65610584.061999999,2.0790739492863843,35958543.494000003,179.1762501,0,1
66323352.061999999,2.1016602042614139,36814456.362000003,179.0610408,0,1
67036120.061999999,2.1242464592364438,37567473.811999999,178.95936008999999,0,1
67748888.062000006,2.1468327142114738,38214138.196000002,178.87180219999999,0,1
68461656.062000006,2.1694189691865038,38760950.310000002,178.79759381,0,1
69174424.062000006,2.1920052241615333,39219450.618000001,178.73525068999999,0,1
70599960.062000006,2.2371777341115928,39878819.855999999,178.64540504000001,0,1
71004600,2.25,40048194.957000002,178.62228999000001,0,1
71026874,2.2507058204679695,39750554.285999998,178.61194599000001,0,1
71049148,2.2514116409359395,39747141.814000003,178.61464459000001,0,1
71071422,2.252117461403909,39743910.497000001,178.61549969999999,0,1
71115970,2.2535291023398485,39737630.327,178.61278793,0,1
71205066,2.256352384211727,39725624.144000001,178.59562890999999,0,1
71383258,2.2619989479554845,39703177.306000002,178.52873528999999,0,1
71739642,2.2732920754429995,39662458.438000001,178.31271896999999,0,1
72096026,2.2845852029305145,39624840.457999997,178.04327047000001,0,1
72808794,2.307171457905544,39557528.333999999,177.40457189,0,1
74234330,2.3523439678556035,39440571.049000002,176.06818777999999,0,1
77085402,2.442688987755723,39240859.781999998,173.73446057999999,0,1
78894000,2.5,39123651.846000001,172.41822353000001,0,1
78894021.752000004,2.5000006892792861,39374830.792999998,150.65486376999999,0,1
78894043.503999993,2.5000013785585722,39400797.456,138.93507284,0,1
78894087.008000001,2.5000027571171444,39422300.472000003,130.21450386999999,0,1
78894174.016000003,2.5000055142342892,39440556.891999997,126.20281602,0,1
78894348.031000003,2.5000110284368899,39453664.853,125.1438959,0,1
78894696.062000006,2.5000220568737803,39462033.839000002,124.97533966,0,1
78895392.125,2.5000441137792482,39467383.593999997,124.94151720000001,0,1
78896088.187999994,2.500066170684716,39469882.256999999,124.92907746,0,1
78896784.25,2.5000882275584964,39471258.832000002,124.92264765,0,1
78897480.312000006,2.5001102844322762,39472067.32,124.91915473,0,1
78898872.437999994,2.5001543982432124,39472603.670000002,124.91644995999999,0,1
78901656.687999994,2.5002426258017083,39471975.956,124.91513746,0,1
78907225.187999994,2.500419080918701,39468189.125,124.91519395,0,1
78918362.187999994,2.5007719911526856,39457276.520000003,124.91684551,0,1
78940636.187999994,2.5014778116206555,39431605.222000003,124.92117090000001,0,1
78985184.187999994,2.5028894525565946,39376352.322999999,124.93060689000001,0,1
79074280.187999994,2.5057127344284735,39262126.733999997,124.95014403,0,1
79252472.187999994,2.511359298172231,39029605.093000002,124.98991171,0,1
79608856.187999994,2.5226524256597456,38558422.489,125.07045291999999,0,1
79787048.187999994,2.5282989894035031,38325061.475000001,125.11031936000001,0,1
80143432.187999994,2.539592116891018,37853880.471000001,125.19076687,0,1
80856200.187999994,2.562178371866048,36934382.424999997,125.3475766,0,1
81212584.187999994,2.573471499353563,36489414.519000001,125.42337396000001,0,1
81925352.187999994,2.5960577543285925,35670582.711000003,125.56270753,0,1
83350888.187999994,2.641230264278652,34406995.273000002,125.7773397,0,1
84776424.187999994,2.6864027742287115,33489959.853,125.93281379,0,1
86783400,2.75,32672696.149999999,126.07116288,0,1
86827948,2.7514116409359395,32279354.340999998,126.07161383,0,1
86872496,2.7528232818718785,32281230.339000002,126.08129108,0,1
86917044,2.754234922807818,32283123.436999999,126.08996509000001,0,1
87006140,2.757058204679697,32286657.344999999,126.10898951,0,1
87184332,2.7627047684234545,32292893.969000001,126.15958768,0,1
87540716,2.773997895910969,32302976.162,126.30135061999999,0,1
88253484,2.796584150885999,32317417.761,126.66538801,0,1
89679020,2.8417566608360585,32335208.809999999,127.44327255,0,1
92530092,2.9321016807361775,32353738.5,128.73849539,0,1
94672800,3,32362899.993000001,129.53911463,0,1
94672843.503999993,3.0000013785585722,32692637.385000002,161.16374243000001,0,1
94672887.008000001,3.0000027571171444,32709062.103999998,172.82116615999999,0,1
94672974.016000003,3.0000055142342892,32713572.192000002,178.03273193999999,0,1
94673148.031000003,3.0000110284368899,32712081.732999999,179.3489883,0,1
94673496.062000006,3.0000220568737803,32708354.061999999,179.54371241999999,0,1
94673844.093999997,3.0000330853423578,32706097.940000001,179.57046102999999,0,1
94674192.125,3.0000441137792482,32704655.609000001,179.58206128,0,1
94674888.187999994,3.000066170684716,32703023.449999999,179.59423493,0,1
94676280.312000006,3.0001102844322762,32701687.449000001,179.60382498000001,0,1
94679064.562000006,3.0001985119907726,32701704.524,179.60869023000001,0,1
94684633.062000006,3.0003749671077649,32705123.409000002,179.60992873999999,0,1
94695770.062000006,3.0007278773417498,32715891.702,179.60897205000001,0,1
