id,temperature,x,y,z
0,403.14515917245,0,-1000,0
10,403.14914412068,10,-1000,0
20,403.14967166968,20,-1000,0
30,403.14985087278,30,-1000,0
40,403.14992080352,40,-1000,0
50,403.14995321244,50,-1000,0
60,403.14996926843,60,-1000,0
70,403.14997831484,70,-1000,0
80,403.1499836186,80,-1000,0
90,403.14998686875,90,-1000,0
100,403.14998885417,100,-1000,0
110,403.14999009757,110,-1000,0
120,403.14999089949,120,-1000,0
130,403.14999142443,130,-1000,0
140,403.1499916982,140,-1000,0
150,403.14999189446,150,-1000,0
160,403.14999202447,160,-1000,0
170,403.14999209166,170,-1000,0
180,403.14999214829,180,-1000,0
190,403.14999217193,190,-1000,0
200,403.1499921955,200,-1000,0
210,403.14999220445,210,-1000,0
220,403.1499922134,220,-1000,0
230,403.1499922178,230,-1000,0
240,403.1499922209,240,-1000,0
250,403.1499922233,250,-1000,0
260,403.14999222428,260,-1000,0
270,403.14999222526,270,-1000,0
280,403.1499922258,280,-1000,0
290,403.14999222608,290,-1000,0
300,403.14999222636,300,-1000,0
310,403.1499922265,310,-1000,0
320,403.14999222657,320,-1000,0
330,403.14999222664,330,-1000,0
340,403.14999222669,340,-1000,0
350,403.14999222671,350,-1000,0
360,403.14999222672,360,-1000,0
370,403.14999222674,370,-1000,0
380,403.14999222675,380,-1000,0
390,403.14999222675,390,-1000,0
400,403.14999222675,400,-1000,0
410,403.14999222676,410,-1000,0
420,403.14999222676,420,-1000,0
430,403.14999222676,430,-1000,0
440,403.14999222676,440,-1000,0
450,403.14999222676,450,-1000,0
460,403.14999222676,460,-1000,0
470,403.14999222676,470,-1000,0
480,403.14999222676,480,-1000,0
490,403.14999222676,490,-1000,0
500,403.14999222676,500,-1000,0
