flux,point_id,x,y,z
-214.42963549875,0,0,0,0
-142.89347077484,1,0,-75,0
100.58842358505,2,0,-125,0
279.56741207698,3,0,-175,0
470.99276214546,4,0,-225,0
658.83561488609,5,0,-275,0
847.72741297265,6,0,-325,0
1036.3105500228,7,0,-375,0
1224.9842138342,8,0,-425,0
1413.633570567,9,0,-475,0
1602.2914009222,10,0,-525,0
1790.9346324577,11,0,-575,0
1979.6833063242,12,0,-625,0
2168.0768243926,13,0,-675,0
2358.1960905818,14,0,-725,0
2543.225876268,15,0,-775,0
2753.478343824,16,0,-825,0
2881.9144075028,17,0,-875,0
3900.6759893602,18,0,-925,0
0,19,0,-1000,0
