flux,point_id,x,y,z
-5151.9503181107,0,0,0,0
-8222.5761399808,1,0,-75,0
-6382.3577493833,2,0,-125,0
-6187.8308189647,3,0,-175,0
-5993.4651126184,4,0,-225,0
-5799.4633202477,5,0,-275,0
-5605.8284297169,6,0,-325,0
-5412.5637061823,7,0,-375,0
-5219.6724147233,8,0,-425,0
-5027.157856632,9,0,-475,0
-4835.0233601486,10,0,-525,0
-4643.2722848749,11,0,-575,0
-4451.9080138157,12,0,-625,0
-4260.9339843729,13,0,-675,0
-4070.3535632949,14,0,-725,0
-3880.1705621119,15,0,-775,0
-3690.3871069673,16,0,-825,0
-3500.912777927,17,0,-875,0
-4140.2447124797,18,0,-925,0
0,19,0,-1000,0
