time,T_bottomhole_formation,T_open_top,T_wellhead,T_y1500,T_y200,T_y400,T_y600,T_y800,pp_bottomhole_formation,pp_wellhead,well_heat_rate,well_mass_rate,wellbore_heat_rate
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,503.11828434365,403.14610773208,303.15001481625,453.13958171682,323.14999997264,343.15000002871,363.15000011675,383.1499931985,18095129.309523,99889.266906964,4103481441.7079,4917.5223036175,61.818008706855
9000,503.11631134739,403.14606453081,303.23926674905,453.13961386778,323.20274672723,343.19605695641,363.18938618895,383.18272611731,18085146.581769,110580.44724043,5443224890.6747,6525.3179413073,-526574406.47252
10000,503.11598342834,403.14605918629,303.25555601187,453.13962824841,323.21237887442,343.20447713927,363.19660057033,383.18874075337,18084166.106193,111719.78652352,996186431.20183,1194.315189273,-96476072.232553
