time,T_bottomhole_formation,T_open_top,T_wellhead,T_y1500,T_y200,T_y400,T_y600,T_y800,bhp_control,injected_mass_rate,pp_bottomhole_formation,pp_wellhead,well_heat_rate,well_mass_rate,wellbore_heat_rate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,499.34957163392,402.58856014505,303.15001481625,437.27929194939,323.14999997264,343.1500000293,363.15000034147,383.15007398734,21850000,-20.497015958444,21624343.767216,99889.266908085,-13464823703.762,-73789.257450399,-406.04801980361
9000,494.46971726388,401.85288230929,303.15607268463,419.38080258508,323.14600884855,343.13797055993,363.12990522926,383.12193141504,21800000,-17.981713325435,21602086.099422,100512.29500706,-17715294149.849,-97101.251957349,185287680.86568
17100,487.66520884752,400.80844890423,303.16511595552,399.45914039047,323.14006641423,343.12005611451,363.09998200847,383.0800023972,21840120.155883,-16.752967727777,21643431.372963,100555.73974001,-24761574733.236,-135699.03859499,277552479.31125
29250,477.88581329341,399.23025854657,303.17859037154,378.41241710694,323.13123470884,343.09342579978,363.05549934431,383.01766959095,22002471.769494,-16.099042393313,21794011.671512,100352.72127516,-35717687331.154,-195603.36507875,415773540.60677
47475,464.28550352664,396.84972479221,303.19860266569,358.43265830761,323.11815879824,343.05399336066,362.98963224296,382.92537225406,22197519.649828,-15.33170290047,21972581.446656,99944.829933624,-51065506390.791,-279420.28536106,622688207.80067
74812.5,446.35657897701,393.30596410245,303.22818108285,341.53683288275,323.09892070428,342.9959693208,362.8927102029,382.78956658892,22430934.504805,-14.609843320748,22183270.469019,99295.643793889,-73063848134.265,-399396.59178094,931945904.44514
115818.75,424.5263513542,388.1878685949,303.27158437317,328.96829395823,323.07087481676,342.91136845838,362.75139714061,382.59158304718,22700442.338767,-14.078376614079,22422318.849641,98342.110139751,-105726765729.11,-577301.43103109,1393595022.8006
177328.125,400.60441366512,381.17052451263,303.33460177112,320.93999527408,323.03052996393,342.78965900508,362.54810979621,382.30682349485,22996523.508063,-13.807002362994,22679422.319849,97012.176957484,-155718344999.94,-849260.08597128,2081632501.1982
269592.1875,377.43709813815,372.25755303893,303.42469124442,316.66471535368,322.9736041928,342.61793664348,362.26131622981,381.90519821738,23306173.389914,-13.756218815283,22942790.290357,95238.60045035,-233002455889.44,-1269204.632537,3104906011.6099
407988.28125,357.71969971661,362.00716030208,303.55064531375,314.75597291039,322.89548749482,342.38232630476,361.86788706319,381.35443241063,23618362.449149,-13.80667005148,23205145.356333,92969.47243636,-351221512669.45,-1910789.2028199,4622540452.4696
615582.421875,341.37555898937,350.08322747606,303.72129311296,313.85597320186,322.79241704393,342.07151722546,361.34900878331,380.62861249951,24618362.449149,-15.799210655055,24091226.420053,90166.312427786,-605425066556.61,-3279823.5584895,6866230236.0558
926973.6328125,330.11809558165,338.84138665703,303.94274500186,313.47677169989,322.66321500128,341.68225528206,360.69945166734,379.72062815956,25618362.449149,-17.458414735897,24980632.334249,86784.431662542,-1007855097662.7,-5436396.9056601,10183250826.947
1394060.4492188,323.24723745703,330.04172291221,304.21427627695,313.33722142593,322.51218018096,341.22738330789,359.94077690208,378.65997229895,26618362.449149,-19.003811990697,25879990.070992,82749.316944604,-1652832599450.7,-8876430.0423174,15062211396.886
2094690.6738281,319.40891959725,324.38999483231,304.52453022678,313.3025429702,322.34976675471,340.73793818469,359.12486356607,377.51572052223,27262978.586657,-19.676894391103,26470960.961348,77959.679224217,-2574437227866.6,-13786226.936853,22239153229.625
3145636.0107422,317.23727881328,321.11264884043,304.85145988442,313.29416193056,322.19020371381,340.25554023443,358.32106150664,376.37832461123,27572419.287362,-19.628279192057,26769289.419453,72340.171355581,-3857591809656.9,-20628248.48854,32811573262.627
4722054.0161133,315.86396545186,319.05223759046,305.16865479061,313.28065467723,322.04545621103,339.81444125347,357.58625691478,375.32291935876,27928419.13419,-19.768049389099,27117329.27323,66040.811754584,-5836999338312.1,-31162708.988041,48439582842.598
7086681.0241699,314.9519514522,317.57144814094,305.45568430152,313.25482360734,321.91999563192,339.42690349501,356.94065822434,374.38275545294,28519205.894886,-20.47734365332,27685442.533581,60029.826927779,-9093440324499.2,-48421279.855897,71619061511.206
10633621.536255,314.57515468191,316.94076548533,305.70531436749,313.23349539309,321.81110394934,339.08535729672,356.3714980401,373.546386227,28121615.889004,-19.131800671773,27347120.980346,57027.191372068,-12722696094243,-67859358.871847,106044425502.15
15954032.304382,314.27560325361,316.35704487615,305.92273983444,313.20224077482,321.71417591767,338.77749970154,355.85798331749,372.79896305452,28378157.211541,-19.273266528168,27607127.155716,61296.410849972,-19247357876536,-102541694.77345,157084716897.61
23934648.456573,313.99580030586,315.70781412082,306.11944522255,313.17365750873,321.62370563258,338.49038231487,355.37904015696,372.11951613357,29378157.211541,-20.973166622539,28554920.077937,75505.885453912,-31554929984800,-167378792.31043,232884532848.81
29920110.570717,314.04059084329,315.82726124746,306.22973555394,313.16777098931,321.57197856193,338.32751263008,355.10749207203,371.7279802601,28233188.015103,-18.451922358949,27508502.213913,87142.881001,-20718573469644,-110443282.21261,173548030420.65
35905572.68486,313.97364155537,315.65159396436,306.31815975029,313.16274952815,321.53196508637,338.20055389985,354.89542262269,371.42742375772,28584701.202122,-19.055872669972,27842035.666373,98008.926277843,-21429627761080,-114058203.91806,172508642323.04
44883765.856075,313.87853111578,315.40297820066,306.42315678754,313.15945155122,321.48460441613,338.05192099761,354.64752946514,371.08230447612,29134205.359457,-20.037320664845,28361575.245094,111206.53796745,-33881082459737,-179898935.56256,257162685025.29
58351055.612898,313.82850284582,315.28027218202,306.54663695071,313.15850154617,321.43079481363,337.88414493451,354.36788202658,370.69154905944,29113309.845284,-19.86207318737,28352950.998052,124747.55885883,-50373319493769,-267488294.78553,382998536722.17
