flux,point_id,x,y,z
-214.55025431097,0,0,0,0
-142.87680212675,1,0,-75,0
100.62529443088,2,0,-125,0
279.66895947284,3,0,-175,0
471.14273262026,4,0,-225,0
659.03996759707,5,0,-275,0
847.98401556576,6,0,-325,0
1036.6200431444,7,0,-375,0
1225.3463480396,8,0,-425,0
1414.0481833534,9,0,-475,0
1602.7588133129,10,0,-525,0
1791.453440821,11,0,-575,0
1980.2567840651,12,0,-625,0
2168.6962877367,13,0,-675,0
2358.8797090089,14,0,-725,0
2543.9378684457,15,0,-775,0
2754.2091765287,16,0,-825,0
2882.8728422574,17,0,-875,0
3909.1763719391,18,0,-925,0
0,19,0,-1000,0
