time,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99,total_downwards_force,xdisp,ydisp
0.0013225,0.48884136548967,0.48885012908147,0.48888290935575,0.48895985302527,0.48910500914305,0.48925257710761,0.48872135484958,0.48374138044971,0.45718535003807,0.34542912880351,1.1505101165216e-16,0.99653302062681,0.23962198784825,-0.04242355560375
0.0020113571875,0.49101326012455,0.49102566373993,0.49106870033792,0.49115217687606,0.49123503140951,0.49095857683336,0.48855482635702,0.47690812140269,0.43153005158424,0.29011624674546,9.6628121086394e-17,0.99848947347302,0.23887604242687,-0.042732206658277
0.0030590228625391,0.49263847905616,0.49265096354167,0.49268503919349,0.49269978393695,0.49245481263455,0.49090782355807,0.48428512462634,0.46106331195182,0.3937604084526,0.24208540505966,8.0630637186883e-17,0.99721665007085,0.23667411675009,-0.042910949684845
0.0046523913960641,0.49607975611727,0.49607049070402,0.49599187234306,0.49559558823812,0.49403692545943,0.48880664722834,0.47345334934902,0.43431126545397,0.34998133827556,0.2023078241514,6.7382041330409e-17,0.99727704049967,0.23418915992709,-0.043182795485376
0.007075705764489,0.49979982890309,0.49963534296883,0.49893643282061,0.4969125984874,0.49161289005831,0.4788813067571,0.4511044702185,0.39695523958439,0.30444612668975,0.16863148263224,5.6165566408497e-17,0.99726382204698,0.23113409781653,-0.043530496133756
0.010761264004567,0.50319690031933,0.50244716545966,0.49975557117449,0.49366080929279,0.48133217106392,0.45820372396756,0.41803320087503,0.35401860359519,0.26136487819302,0.14065827144044,4.6848615467146e-17,0.99679570586809,0.227099146165,-0.043934045411864
0.016366537392946,0.50167793663642,0.4997030018983,0.49325198768919,0.48074153193228,0.4595696855088,0.42632714031669,0.37734371739987,0.30965580815968,0.22225882732477,0.11721157182332,3.9039295737225e-17,0.99650219876479,0.22219163361496,-0.0444691940575
0.024891457557497,0.48778924002514,0.48436461298521,0.47373974211179,0.45491045427923,0.42638989503195,0.38650711724428,0.33382674965218,0.26764030857109,0.18842196753591,0.098099566652506,3.2673719281009e-17,0.99594037563975,0.21583431219711,-0.045119491484685
0.037856795512758,0.4525677205559,0.44825255912672,0.43519560496142,0.4130874336579,0.38152226291793,0.34015473868554,0.28888552665534,0.22804189685746,0.15851372421739,0.081808078467363,2.7247563694442e-17,0.99563686077541,0.20797210218372,-0.045975908535888
0.057575453875466,0.39318984148741,0.38889153270016,0.37602018874341,0.35464617032896,0.32491580783774,0.28709698000526,0.24162939431572,0.18916855259243,0.13061261775236,0.067103765718392,2.2350043721883e-17,0.9953011220779,0.19798501178749,-0.047044641606368
