time,J_out,P_in,P_out,TK_in,TK_out,kg_out,kg_per_s
21004638.671875,39131361741.856,32116202.528755,30600023.087615,303,360.89577538296,99998.800123924,0.099998800123924
22004638.671875,38979370816.748,32120093.840362,30600023.178875,303,360.52870729541,99998.831659618,0.099998831659618
23004638.671875,38823566817.987,32123840.056889,30600023.273185,303,360.1523749961,99998.862628459,0.099998862628459
24004638.671875,38665076346.301,32127449.055437,30600023.369832,303,359.76950239066,99998.892927859,0.099998892927859
25004638.671875,38504819834.492,32130930.468617,30600023.468295,303,359.38231583428,99998.922290564,0.099998922290564
26004638.671875,38343554638.968,32134291.197412,30600023.568154,303,358.99264778362,99998.950789332,0.099998950789332
27004638.671875,38181904363.925,32137539.058925,30600023.669062,303,358.60200870244,99998.978265691,0.099998978265691
28004638.671875,38020381899.477,32140680.04899,30600023.770728,303,358.21164196087,99999.004810123,0.099999004810123
29004638.671875,37859408010.148,32143720.528881,30600023.872907,303,357.82256884095,99999.030389184,0.099999030389184
30004638.671875,37699326924.455,32146665.897947,30600023.975398,303,357.43562587269,99999.054989522,0.099999054989522
31004638.671875,37540419331.71,32149521.497831,30600024.078028,303,357.0514959936,99999.078695588,0.099999078695588
32004638.671875,37382913046.575,32152291.81856,30600024.180573,303,356.670724762,99999.101553548,0.099999101553548
33004638.671875,37226990303.554,32154981.343854,30600024.282847,303,356.29374822107,99999.123550474,0.099999123550474
34004638.671875,37072796351.812,32157594.149931,30600024.38476,303,355.9209204386,99999.144676323,0.099999144676323
35004638.671875,36920445709.763,32160134.139623,30600024.486233,303,355.55252108789,99999.165001114,0.099999165001114
36004638.671875,36770027331.624,32162604.738106,30600024.587203,303,355.18876802035,99999.18453972,0.09999918453972
37004638.671875,36621608651.828,32165009.243002,30600024.687618,303,354.82982692389,99999.203353033,0.099999203353033
38004638.671875,36475239048.709,32167350.717654,30600024.787435,303,354.4758197429,99999.221473813,0.099999221473813
39004638.671875,36330952789.409,32169632.151317,30600024.886618,303,354.12683179522,99999.238894092,0.099999238894092
40004638.671875,36188771493.491,32171856.176501,30600024.985141,303,353.7829176028,99999.255698181,0.099999255698181
41004638.671875,36048706365.828,32174025.283279,30600025.08291,303,353.44410466421,99999.271933228,0.099999271933228
42004638.671875,35910759632.669,32176141.823091,30600025.179848,303,353.11039766872,99999.287569884,0.099999287569884
43004638.671875,35774926287.683,32178208.028416,30600025.275952,303,352.7817848418,99999.302646441,0.099999302646441
44004638.671875,35641195014.722,32180225.92782,30600025.371217,303,352.45823915711,99999.317218514,0.099999317218514
45004638.671875,35509549540.848,32182197.522535,30600025.465645,303,352.13972170841,99999.331237777,0.099999331237777
46004638.671875,35379969483.115,32184124.680166,30600025.559238,303,351.82618355744,99999.344778672,0.099999344778672
47004638.671875,35252431027.105,32186009.12414,30600025.651999,303,351.51756751383,99999.357873401,0.099999357873401
48004638.671875,35126907619.658,32187852.521753,30600025.743934,303,351.2138097999,99999.370519865,0.099999370519865
49004638.671875,35003370423.355,32189656.439228,30600025.83505,303,350.91484109835,99999.382738359,0.099999382738359
50004638.671875,34881788832.8,32191422.347427,30600025.925353,303,350.62058779581,99999.394575203,0.099999394575203
51004638.671875,34762130941.775,32193151.571337,30600026.014831,303,350.33097322652,99999.406052649,0.099999406052649
52004638.671875,34644363738.379,32194845.444635,30600026.103414,303,350.04591852595,99999.417158504,0.099999417158504
53004638.671875,34528453503.101,32196505.257871,30600026.191108,303,349.76534308521,99999.427904241,0.099999427904241
54004638.671875,34414365974.852,32198132.178495,30600026.277929,303,349.48916489449,99999.43832688,0.09999943832688
55004638.671875,34302066554.966,32199727.337686,30600026.363893,303,349.21730111041,99999.448424013,0.099999448424013
56004638.671875,34191520606.479,32201291.865808,30600026.449016,303,348.9496687551,99999.458186208,0.099999458186208
57004638.671875,34082693429.016,32202826.778339,30600026.533314,303,348.68618460413,99999.467661481,0.099999467661481
58004638.671875,33975550569.768,32204333.026716,30600026.6168,303,348.42676602022,99999.476860228,0.099999476860228
59004638.671875,33870057741.214,32205811.536131,30600026.699491,303,348.17133073268,99999.485783218,0.099999485783218
60000000,33609550066.06,32207263.222523,30600026.781399,303,347.91979748027,99535.627253535,0.099999492084984
