time,J_out,P_in,P_out,TK_in,TK_out,kg_out,kg_per_s
0,0,0,0,0,0,0,0
244.140625,0,30926569.905581,29429999.797719,303,362.99999727603,0,0
488.28125,0,31092854.50324,29429999.566677,303,363.00000229009,0,0
976.5625,0,31217295.89627,29429999.267544,303,363.00000175613,0,0
1953.125,0,31381111.319985,29430012.54462,303,363.00000756486,0,0
3906.25,0,31600545.177899,30074391.085279,303,363.17783394765,0,0
4394.53125,0,31659067.726876,30350867.172646,303,363.29747013039,0,0
4638.671875,0,31688729.89546,30505283.997817,303,363.33919073403,0,0
4760.7421875,0,31703730.280298,30583687.647997,303,363.35153765714,0,0
4882.8125,324656.75781778,31718892.428022,30600002.989908,303,363.19628878909,0.80992399953632,0.013269794808403
5126.953125,2935111.9567364,31749073.583122,30600006.769358,303,363.11343639839,7.3285250848685,0.030017638747621
5615.234375,9861380.613888,31801868.985138,30600011.381434,303,363.07293613967,24.632677803605,0.050447724141782
6591.796875,28442581.764418,31869355.188206,30600016.419362,303,363.05546523027,71.059386040189,0.072764811305154
8544.921875,70398580.061351,31922837.358564,30600020.323543,303,363.04680472987,175.89571816426,0.090058607700102
12451.171875,152992807.19063,31946700.14865,30600022.085743,303,363.04288030452,382.27863306136,0.097863330063709
20263.671875,311868707.32579,31952519.10593,30600022.510811,303,363.04195842217,779.26461435125,0.09974587063696
35888.671875,625218286.94929,31953473.192097,30600022.564231,303,363.04200928333,1562.228653353,0.09998263381459
67138.671875,1250632669.839,31953993.639411,30600022.567607,303,363.04235515747,3124.9361005016,0.09999795521605
129638.671875,2501296496.2896,31954935.149402,30600022.567562,303,363.04304946433,6249.9051268376,0.099998482029402
254638.671875,5002665006.8883,31956782.846852,30600022.567256,303,363.04438905422,12499.816839866,0.099998534718925
504638.671875,10005597033.589,31960345.19562,30600022.566681,303,363.04689077916,24999.653386232,0.099998613544927
1004638.671875,20012135600.321,31966934.472086,30600022.565661,303,363.05131358337,49999.369957938,0.099998739915877
2004638.671875,40027324136.325,31978165.07295,30600022.563993,303,363.05851638798,99998.911334891,0.099998911334891
3004638.671875,40031423524.89,31995359.67407,30600022.56132,303,363.06911193293,99998.185298147,0.099998185298147
4004638.671875,40034696890.096,32008540.875618,30600022.559501,303,363.07690112238,99998.3004538,0.0999983004538
5004638.671875,40037279094.726,32019689.232302,30600022.558058,303,363.08306242891,99998.373914478,0.099998373914478
6004638.671875,40039386400.034,32029350.171123,30600022.556882,303,363.08808759549,99998.43695978,0.09999843695978
7004638.671875,40041012539.145,32038046.058474,30600022.555973,303,363.09197075122,99998.480018772,0.099998480018772
8004638.671875,40041871290.553,32045965.496988,30600022.555497,303,363.09401055619,99998.513992464,0.099998513992464
9004638.671875,40041158762.132,32053308.68609,30600022.555915,303,363.09226783804,99998.537787789,0.099998537787789
10004638.671875,40037255750.968,32060147.647546,30600022.558155,303,363.08282898134,99998.557190728,0.099998557190728
11004638.671875,40027502722.44,32066587.99081,30600022.563737,303,363.05927578432,99998.571440084,0.099998571440084
12004638.671875,40008309021.525,32072665.718206,30600022.574723,303,363.01293794074,99998.584650656,0.099998584650656
13004638.671875,39975725537.63,32078440.535884,30600022.593391,303,362.93428329836,99998.597262048,0.099998597262048
14004638.671875,39926370486.852,32083931.364927,30600022.621721,303,362.81514590369,99998.612337091,0.099998612337091
15004638.671875,39858303989.019,32089173.175814,30600022.660898,303,362.65084156034,99998.630232129,0.099998630232129
16004638.671875,39771440155.234,32094177.028315,30600022.71108,303,362.4411583871,99998.652320996,0.099998652320996
17004638.671875,39667335667.951,32098965.676579,30600022.7715,303,362.1898493475,99998.677797085,0.099998677797085
18004638.671875,39548550963.369,32103547.938893,30600022.84082,303,361.90308780013,99998.70644333,0.09999870644333
19004638.671875,39417938543.676,32107941.172438,30600022.917518,303,361.5877517925,99998.736877914,0.099998736877914
20004638.671875,39278139272.493,32112154.640507,30600023.00018,303,361.25020697595,99998.768416285,0.099998768416285
