time,TK_out
0,0
2,362.99994539644
6,362.99978659216
42,363.00182260308
1806,363.05029753865
1001806,363.0283255915
2001806,363.03931256272
3001806,363.04828917528
4001806,363.0555785516
5001806,363.06177579836
6001806,363.06723865674
7001806,363.07212600067
8001806,363.07638037105
9001806,363.07947042355
10001806,363.07975955994
11001806,363.0734838503
12001806,363.05373717783
13001806,363.01040652505
14001806,362.93198758751
15000000,362.80908747094
