disp_i,disp_j,disp_k,id,pressure,temperature,x,y,z
-0.00025130687467465,-0.56358801838717,-1.0777151683465,133,23906767.709739,500.28030636507,2330.4,1927.1,-946.48
-0.00025243695597178,-0.56308232536724,-1.0787258367923,132,23893123.342779,500.14079941393,2325.9,1926.2,-944.74
-0.00025825412924664,-0.56054932702653,-1.0839323929258,131,23822869.480885,499.42335433588,2303,1921.8,-935.78
-0.00026421156879337,-0.55806557898604,-1.089199301214,130,23751829.380311,498.69875485495,2280,1917.6,-926.72
-0.00027027902189363,-0.55568454850602,-1.0943039126339,129,23682937.075116,497.99490976244,2257,1913.6,-917.94
-0.00027647711293397,-0.55345267214152,-1.0995257737251,128,23612554.526397,497.27676554587,2233.9,1910.2,-908.97
-0.00028274609354862,-0.5513406880534,-1.1052185550598,127,23536070.580253,496.50155912,2211,1907.6,-899.21
-0.00028907718782824,-0.54931473430464,-1.1113988631739,126,23453262.577576,495.66773692823,2188.4,1905.7,-888.63
-0.00029551407160727,-0.54738483062365,-1.1176652253689,125,23369366.914747,494.82446813394,2165.9,1904.2,-877.91
-0.00030208471147559,-0.54557100980409,-1.1240480360816,124,23283989.87799,493.96771219888,2143.4,1903.2,-867
-0.0003087791852913,-0.54386252386463,-1.1303519053523,123,23199679.994496,493.12166577105,2120.9,1902.5,-856.23
-0.0003156568295203,-0.54211527045944,-1.1364709481219,122,23117751.347144,492.29889771048,2098.2,1901.5,-845.77
-0.00032269037415768,-0.54029931724726,-1.1424157859407,121,23038058.295298,491.49836950619,2075.4,1900.1,-835.6
-0.00032987840318488,-0.53838784076631,-1.1481853124492,120,22960603.382663,490.72017444878,2052.5,1898.2,-825.72
-0.00033719677718116,-0.53645737174426,-1.1539302090021,119,22883455.435737,489.94595583124,2029.6,1896.2,-815.88
-0.00034460658877244,-0.53452583788443,-1.1600414189666,118,22801535.157108,489.12850062985,2007,1894.5,-805.42
-0.00034992698336679,-0.53258744418123,-1.1665406986572,117,22713943.878997,488.25928478865,1984.6,1893.1,-794.3
-0.0003543247250341,-0.53057672991186,-1.1732371773566,116,22623470.453501,487.36563299169,1962.5,1891.6,-782.84
-0.00035882774606888,-0.5285415388015,-1.1799323773774,115,22532957.653907,486.47323024702,1940.3,1890,-771.38
-0.0003633991238556,-0.52655743136537,-1.1865405901927,114,22443567.118109,485.59288135857,1918.1,1888.5,-760.07
-0.00036806282159962,-0.52456096794273,-1.1929823802043,113,22356289.729777,484.73366443502,1895.7,1886.8,-749.04
-0.00037280333300276,-0.52249940363938,-1.1991372704568,112,22272676.731092,483.91026646578,1873.1,1884.6,-738.49
-0.0003776081475208,-0.52038814892544,-1.2050590462895,111,22192042.786897,483.11632844599,1850.4,1882,-728.33
-0.00038247633357546,-0.51814228287614,-1.2108802161645,110,22112639.417877,482.33620850994,1827.8,1878.8,-718.33
-0.00038744193704861,-0.51574098690523,-1.2166944356871,109,22033221.872441,481.5581171082,1805.2,1875,-708.33
-0.0003924968189046,-0.51326438099187,-1.2225108295736,108,21953705.464979,480.78092599349,1782.6,1870.9,-698.32
-0.0003982252636568,-0.51091276228705,-1.2275584732371,107,21876179.314222,480.03436856698,1759.9,1866.9,-688.68
-0.00040434144177125,-0.5086565332967,-1.2319968709027,106,21801704.441966,479.32366241851,1737,1862.9,-679.51
-0.00041045111010782,-0.50653150455574,-1.2363658404639,105,21728323.67844,478.62349613849,1714,1859.3,-670.49
-0.00041666290524067,-0.50452062341347,-1.2409269061347,104,21651869.461923,477.89652050067,1691,1856.3,-661.09
-0.00042294501803759,-0.50277937924337,-1.2456918390888,103,21572256.122763,477.1416443983,1668.1,1854.5,-651.3
-0.00042930423385239,-0.50126178349405,-1.2506242733148,102,21490025.947406,476.36385093428,1645.2,1853.7,-641.19
-0.00043568544141316,-0.49974936657634,-1.2555417411624,101,21407960.166205,475.58909000139,1622.3,1852.9,-631.11
-0.00044206276732744,-0.49829554623671,-1.2604416678143,100,21326144.946143,474.81810303992,1599.5,1852.3,-621.07
-0.00044465372138638,-0.49695180638656,-1.2654260032886,99,21242789.516883,474.03652670185,1576.6,1852.2,-610.87
-0.00044541980976004,-0.49560165852788,-1.2705340551696,98,21157302.013314,473.23910381443,1553.9,1852.2,-600.42
-0.00044627505803031,-0.4941725457991,-1.2758414475931,97,21068505.003952,472.41456165154,1531.4,1852.1,-589.56
-0.00044744403823031,-0.49256494161441,-1.2817246970258,96,20970357.671124,471.50999207557,1509.5,1851.9,-577.52
-0.00044889907832632,-0.49083950270784,-1.2881519156072,95,20863398.064896,470.53018781488,1488.2,1851.8,-564.37
-0.00045048387798263,-0.48906720715838,-1.294854177041,94,20751943.507024,469.51326899011,1467.3,1851.8,-550.66
-0.00045196088216382,-0.48730190017034,-1.3014330159769,93,20642340.106278,468.51492584369,1446.3,1851.7,-537.2
-0.00045309196853641,-0.4855716446387,-1.3074935967403,92,20540850.654872,467.58990221795,1424.6,1851.2,-524.79
-0.00045377914506193,-0.48383224247318,-1.3128207685572,91,20450888.180039,466.76835696783,1402.1,1849.9,-513.86
-0.00045432829444068,-0.48195728992255,-1.3178985347837,90,20364715.700075,465.98269758375,1379.5,1847.8,-503.42
-0.00045483558001016,-0.47992584522776,-1.3229089128403,89,20279413.965299,465.20713543763,1356.9,1845,-493.1
-0.00045529702498816,-0.4778119050525,-1.3278652397001,88,20194819.058484,464.43991419957,1334.3,1841.8,-482.88
-0.00045580084465776,-0.47562502773066,-1.3329263735076,87,20108415.269096,463.65896899327,1311.9,1838.4,-472.44
-0.00045655770061328,-0.47339935968195,-1.3385396761683,86,20013060.556333,462.8014252723,1289.9,1835.4,-460.88
-0.00045761459573973,-0.47105275989025,-1.3447308057649,85,19908320.127076,461.86428098596,1268.6,1832.5,-448.14
-0.00045908108486204,-0.46849307219475,-1.3516634729697,84,19791530.116162,460.82488966967,1248.3,1829.5,-433.88
-0.00046102217513551,-0.46567681104079,-1.3594145697686,83,19661458.045583,459.67302445885,1229.3,1826.3,-417.94
-0.00046343586907554,-0.46273018017405,-1.3679805166882,82,19518280.516518,458.41009938552,1211.8,1823.4,-400.34
-0.00046627160014884,-0.45977138935377,-1.3772833106437,81,19363343.523471,457.04756320078,1195.8,1821.2,-381.25
-0.00046874641723043,-0.45711044956958,-1.3871517186575,80,19199786.148725,455.61136809679,1181.1,1820.8,-361.05
-0.00046934787308858,-0.45455635080535,-1.3976366070908,79,19027214.08566,454.09769568403,1168.3,1821.5,-339.62
-0.00047066426418923,-0.45191600954231,-1.4086277552221,78,18846613.951676,452.51681798563,1157.4,1822.4,-317.16
-0.0004725687807886,-0.44910764512303,-1.4199768991634,77,18660279.253022,450.88863167546,1148.1,1823,-293.96
-0.00047522255763864,-0.44622947857326,-1.430776078689,76,18469108.280387,449.23238301266,1139.9,1823.2,-270.33
-0.00047873855510154,-0.44338714747147,-1.4400484182442,75,18273759.655689,447.56621962727,1132.2,1822.9,-246.57
-0.00048215279132644,-0.44044938375499,-1.4493309941693,74,18078080.178346,445.89824074455,1124.6,1822.2,-222.77
-0.00048583501181217,-0.43732424115759,-1.4587052904481,73,17880385.258608,444.21467815482,1117.9,1820.8,-198.71
-0.00049018117887612,-0.43413468738654,-1.4682338721807,72,17679646.453645,442.5066166599,1113,1819.3,-174.25
-0.00049529318412574,-0.43104521807332,-1.47790306856,71,17476378.253795,440.77779634096,1110.1,1818.4,-149.45
-0.00050098156315151,-0.42809582853529,-1.4876443321134,70,17271990.868716,439.0397308475,1108.7,1818.2,-124.49
-0.00050684802433181,-0.42521090731805,-1.4973976503146,69,17067501.418209,437.3008665933,1107.8,1818.3,-99.51
-0.00051274333061112,-0.42230258645139,-1.5071534490815,68,16862943.434656,435.56159232425,1107,1818.3,-74.52
-0.00051870505589971,-0.41943757864177,-1.5169122036883,67,16658408.663839,433.82250133153,1106.4,1818.5,-49.53
-0.00052484345761017,-0.4165276524456,-1.5266718795709,66,16453852.918829,432.08347390907,1106.2,1818.5,-24.53
-0.00053107572857529,-0.41357510640813,-1.5364284891702,65,16249329.855537,430.34488371179,1106.2,1818.3,0.47
-0.00053726757789387,-0.41055997383899,-1.5461804418195,64,16044796.44025,428.60637257274,1106.1,1817.8,25.47
-0.00054330810599273,-0.40754789092785,-1.5559283793355,63,15840298.204611,426.86815434267,1105.7,1817.3,50.46
-0.0005492873796519,-0.4045584130651,-1.5656777442755,62,15635781.259828,425.12974815608,1105.2,1816.9,75.45
-0.00055519979838835,-0.4016115426304,-1.5754301798503,61,15431243.614266,423.39109897692,1104.6,1816.7,100.44
-0.0005610943066535,-0.39870615753854,-1.585185770252,60,15226700.769103,421.65234697356,1104,1816.7,125.43
-0.00056502365516272,-0.39604510885379,-1.5937415039242,59,15020043.076894,419.91032801906,1103.4,1817,150.43
-0.00056705344651407,-0.39362341926979,-1.6009945876379,58,14811345.105917,418.1667825671,1103.2,1817.5,175.42
-0.00056930045735047,-0.39117912194315,-1.6082490167791,57,14602628.11425,416.42308393477,1103.4,1817.9,200.42
-0.00057171960833932,-0.38867538438167,-1.6154955529292,56,14394044.256193,414.6806091818,1103.9,1818,225.41
-0.00057415121033115,-0.38611275838249,-1.6227369752832,55,14185462.69204,412.93829856148,1104.4,1817.8,250.4
-0.00057642891742352,-0.38349179566769,-1.6299760839179,54,13976754.78615,411.19511861366,1104.6,1817.3,275.4
-0.0005784805859775,-0.38089276173014,-1.6372139640975,53,13768068.997858,409.45213172769,1104.4,1816.9,300.39
-0.00058046500188784,-0.37837011712717,-1.6444617312075,52,13559280.635049,407.70811203553,1104.1,1816.9,325.39
-0.00058255190072621,-0.37592280100152,-1.651716641586,51,13350517.348347,405.96408349053,1104,1817.3,350.39
-0.00058475584645268,-0.37345543649259,-1.6589698271253,50,13141784.285583,404.22032340712,1104.1,1817.6,375.39
-0.00058713991168756,-0.3709510323733,-1.6662164216684,49,12933178.852902,402.47766394367,1104.5,1817.7,400.38
-0.00058953583759789,-0.3683902929164,-1.6734603373811,48,12724491.767322,400.73445030556,1104.9,1817.5,425.38
-0.00059188218046163,-0.36577677540028,-1.6806956216024,47,12515876.032615,398.99197361673,1105.2,1817,450.37
-0.00059411571781658,-0.36312899756846,-1.6879269401007,46,12307233.891903,397.24939089354,1105.3,1816.3,475.36
-0.00059616595273069,-0.36050144800941,-1.6951600281654,45,12098550.050767,395.50647174936,1105.1,1815.7,500.35
-0.00059814917053649,-0.35791023755042,-1.7023997233297,44,11889768.04043,393.76266695346,1104.8,1815.3,525.35
-0.00060012387591796,-0.35535635348347,-1.7096403135852,43,11681068.550464,392.0194695702,1104.5,1815.1,550.34
-0.00059742451019643,-0.35331149478009,-1.7147923517489,42,11471037.211472,390.2718039233,1104.4,1815.3,575.34
-0.00059380757760049,-0.35136155463138,-1.719488560557,41,11260754.395138,388.52349070628,1104.5,1815.5,600.34
-0.00059037126105217,-0.34937693652197,-1.7241805851521,40,11050503.717604,386.77550242167,1104.9,1815.5,625.34
-0.0005869320803762,-0.3473586091964,-1.7288684203337,39,10840248.136392,385.02758572267,1105.3,1815.3,650.34
-0.00058332074771122,-0.34529163531309,-1.7335480752802,38,10630044.681136,383.28024938513,1105.4,1814.8,675.33
-0.00057959630154424,-0.34320969822398,-1.7382254196703,37,10419822.973745,381.53279296582,1105.3,1814.2,700.32
-0.00057564238650708,-0.34117804315103,-1.7429110693373,36,10209486.291815,379.784221481,1104.8,1813.9,725.32
-0.0005717453064988,-0.33921303074498,-1.7476034343989,35,9999246.2088442,378.03627583151,1104.4,1814,750.31
-0.00056801398977988,-0.33726295693199,-1.7522997866927,34,9788945.9860704,376.28781443462,1104.3,1814.2,775.31
-0.00056444618941065,-0.3352963076704,-1.7569938086073,33,9578663.5536759,374.53959748047,1104.5,1814.3,800.31
-0.0005609794987116,-0.33332932547302,-1.7616877576378,32,9368387.0158841,372.79150544526,1104.9,1814.4,825.31
-0.00055746429616352,-0.33130040341773,-1.7663706859027,31,9158185.6644695,371.04417681117,1105.2,1814.1,850.3
-0.00055384336134944,-0.32925619270335,-1.7710531053278,30,8947889.5588962,369.29604327017,1105.3,1813.7,875.3
-0.00055011705069116,-0.32724384270894,-1.7757401700591,29,8737587.0185495,367.54771316337,1105.2,1813.5,900.3
-0.00054629064649897,-0.32526241794518,-1.7804320523876,28,8527283.0532686,365.799202968,1104.9,1813.5,925.3
-0.00054256468303167,-0.32329674931814,-1.7851243549105,27,8317069.0008929,364.05148420055,1104.8,1813.6,950.29
-0.00053807448159555,-0.32129950523638,-1.7900855510939,26,8101971.2199821,362.27699886533,1104.9,1813.9,975.29
-0.00052931040933596,-0.31896466743829,-1.7963822563566,25,7862327.8348336,360.36913148071,1105.2,1814,1000.29
-0.00052058539786395,-0.31661498992646,-1.8026764452053,24,7622684.3415639,358.46133496093,1105.6,1814,1025.29
-0.00051181898843975,-0.31420873913717,-1.8089579554916,23,7383136.6345477,356.55434693717,1105.9,1813.6,1050.28
-0.0005028735144943,-0.31180278644158,-1.8152419705972,22,7143493.4192871,354.64638713786,1105.8,1813.2,1075.28
-0.00049388562350443,-0.309426204084,-1.8215310262146,21,6903850.3693296,352.73832680256,1105.6,1813,1100.28
-0.00048482735971241,-0.30705117908091,-1.8278175502031,20,6664303.2897165,350.83094389361,1105.2,1812.8,1125.27
-0.00047580972037647,-0.30470336797764,-1.8341117775018,19,6424660.3367812,348.92280359643,1104.9,1812.8,1150.27
-0.00046679768364333,-0.3023691894686,-1.8404087311223,18,6185017.3832515,347.0146510356,1104.6,1812.9,1175.27
-0.00045779323881626,-0.30003471137127,-1.8467057496396,17,5945374.389994,345.10651044668,1104.3,1813,1200.27
-0.00044879617816197,-0.2977275405777,-1.8530059142645,16,5705827.2676536,343.19910404713,1104,1813.3,1225.26
-0.00043983269572911,-0.29544489110187,-1.8593144073785,15,5466184.249432,341.29094702931,1103.8,1813.8,1250.26
-0.00043081245630359,-0.29317473921821,-1.865623711932,14,5226637.1114972,339.38348211379,1103.4,1814.4,1275.25
-0.00042183316796661,-0.29092949327569,-1.8719366542264,13,4987185.7611906,337.47680231439,1103.1,1815.2,1300.23
-0.00041285829256979,-0.28868091397086,-1.8782526621043,12,4747638.4703163,335.56938439982,1102.8,1816,1325.22
-0.0004039212480938,-0.28641734582783,-1.8845661886509,11,4508091.0738093,333.66203659811,1102.6,1816.7,1350.21
-0.00039501646477673,-0.2841516741047,-1.8908801388363,10,4268543.6057633,331.75473617918,1102.5,1817.4,1375.2
-0.00039313998010167,-0.28228932875569,-1.8947287941705,9,4027277.0529166,329.84658591774,1102.4,1817.8,1400.19
-0.00039817979007863,-0.2808608078046,-1.8961587531843,8,3784220.1926488,327.93678766162,1102.3,1818.2,1425.19
-0.0004032492960286,-0.27940710784801,-1.8975827332348,7,3541163.3154573,326.02704671881,1102.3,1818.4,1450.19
-0.00040829115376419,-0.27795282269212,-1.8990069329452,6,3298106.439002,324.11728814038,1102.2,1818.6,1475.19
-0.00041333213044262,-0.27649794280269,-1.9004312970499,5,3055049.5606437,322.20753623029,1102.1,1818.8,1500.19
-0.00041837613341221,-0.27501938049087,-1.9018493228881,4,2811992.6717132,320.29781028242,1102,1818.8,1525.19
-0.00042347647714301,-0.27354079881,-1.9032672429747,3,2568935.7788979,318.38812010997,1102.1,1818.8,1550.19
-0.00042857752274111,-0.27206221706054,-1.9046851642553,2,2325878.8864309,316.47842672966,1102.2,1818.8,1575.19
-0.00043368135878427,-0.27057253751275,-1.9060997112062,1,2082821.9911437,314.56873719357,1102.3,1818.7,1600.19
-0.00043881556099092,-0.26908314548919,-1.9075141260671,0,1839765.0957364,312.65905419172,1102.5,1818.6,1625.19
