disp_i,disp_j,disp_k,id,pressure,temperature,x,y,z
-0.00022924240998242,-0.56386103939927,-1.0777139334895,133,23854921.939964,500.23311030913,2330.4,1927.1,-946.48
-0.00022992241173506,-0.5633551842776,-1.078724743436,132,23841188.855517,500.09354249415,2325.9,1926.2,-944.74
-0.00023341017980378,-0.56082140228694,-1.08393203162,131,23770478.606823,499.3757843641,2303,1921.8,-935.78
-0.00023696306831104,-0.55833690980501,-1.0891996910119,130,23698979.330665,498.65087014965,2280,1917.6,-926.72
-0.00024056738490354,-0.55595515053755,-1.0943050548205,129,23629649.047589,497.94672568795,2257,1913.6,-917.94
-0.00024422557081908,-0.55372268529321,-1.099527688833,128,23558820.487393,497.22827696708,2233.9,1910.2,-908.97
-0.00024789004542938,-0.55161034595752,-1.1052212847912,127,23481842.575237,496.45273237444,2211,1907.6,-899.21
-0.00025155429631974,-0.54958425259178,-1.1114024508157,126,23398490.324852,495.61853657357,2188.4,1905.7,-888.63
-0.00025525713551825,-0.54765430755649,-1.1176696891098,125,23314044.704511,494.77489045297,2165.9,1904.2,-877.91
-0.00025901314433457,-0.54584057065051,-1.1240533975372,124,23228109.620448,493.91775192818,2143.4,1903.2,-867
-0.00026282404039245,-0.54413222648172,-1.1303581718262,123,23143254.391467,493.07133233158,2120.9,1902.5,-856.23
-0.00026673501162312,-0.54238501477724,-1.1364781257978,122,23060804.266277,492.24820818691,2098.2,1901.5,-845.77
-0.00027073106912451,-0.54056898096523,-1.1424238805199,121,22980611.453061,491.44733929672,2075.4,1900.1,-835.6
-0.00027481300731503,-0.53865727586989,-1.1481943299696,120,22902678.239409,490.66881868603,2052.5,1898.2,-825.72
-0.00027895763932122,-0.53672654445637,-1.1539401631147,119,22825057.49462,489.89427849488,2029.6,1896.2,-815.88
-0.00028312355894665,-0.53479485986569,-1.1600523486388,118,22742627.03159,489.07647522799,2007,1894.5,-805.42
-0.00028584599382605,-0.53285628735257,-1.1665535548463,117,22654735.579011,488.20701458858,1984.6,1893.1,-794.3
-0.00028793180389744,-0.53084532628217,-1.1732524157274,116,22564063.205369,487.31316674934,1962.5,1891.6,-782.84
-0.00029007162954478,-0.52880985196096,-1.1799500610091,115,22473372.363371,486.42057920508,1940.3,1890,-771.38
-0.00029224630479467,-0.52682546825328,-1.1865607636802,114,22383831.633994,485.54006216506,1918.1,1888.5,-760.07
-0.00029447372243098,-0.52482864846449,-1.1930050979325,113,22296443.686048,484.6807015436,1895.7,1886.8,-749.04
-0.00029675268046087,-0.52276656228013,-1.1991625750366,112,22212770.505254,483.85719199895,1873.1,1884.6,-738.49
-0.00029907419737015,-0.52065465458295,-1.2050869744536,111,22132118.247716,483.06316889581,1850.4,1882,-728.33
-0.00030143694563695,-0.5184079754579,-1.2109108029143,110,22052719.183936,482.28297695195,1827.8,1878.8,-718.33
-0.00030385575277217,-0.51600571435638,-1.2167277351733,109,21973321.770524,481.50482137951,1805.2,1875,-708.33
-0.00030632250682674,-0.51352806706017,-1.2225468942498,108,21893841.191445,480.72757405332,1782.6,1870.9,-698.32
-0.00030908149400092,-0.51117543676533,-1.2275977226803,107,21816159.786161,479.98088644046,1759.9,1866.9,-688.68
-0.00031200354741393,-0.5089181720491,-1.2320396274444,106,21741453.338741,479.27002821494,1737,1862.9,-679.51
-0.00031491062497658,-0.50679218317441,-1.236412203584,105,21667893.422055,478.56973826407,1714,1859.3,-670.49
-0.00031784230982037,-0.50478050113027,-1.2409770488239,104,21591262.32328,477.84263679019,1691,1856.3,-661.09
-0.00032077468390574,-0.50303876567395,-1.245745927009,103,21511473.506207,477.08763252277,1668.1,1854.5,-651.3
-0.00032371504384161,-0.50152093183894,-1.2506824780031,102,21429080.001494,476.30971471371,1645.2,1853.7,-641.19
-0.00032665642808348,-0.5000082648155,-1.2556041854264,101,21346892.424429,475.53485047073,1622.3,1852.9,-631.11
-0.00032958389256586,-0.49855423385461,-1.2605084589641,100,21264994.567063,474.76378009475,1599.5,1852.3,-621.07
-0.00033014757435067,-0.49721039024397,-1.2654969322203,99,21181685.18686,473.98219122803,1576.6,1852.2,-610.87
-0.00032958530628458,-0.4958601678249,-1.2706090028117,98,21096314.250399,473.1847906036,1553.9,1852.2,-600.42
-0.00032907528458644,-0.49443097490887,-1.2759204914478,97,21007647.45953,472.36027135872,1531.4,1852.1,-589.56
-0.00032872342460074,-0.49282333533753,-1.2818080301752,96,20909574.266555,471.45568112259,1509.5,1851.9,-577.52
-0.00032851653696972,-0.491097949855,-1.2882397168709,95,20802643.94781,470.47581905353,1488.2,1851.8,-564.37
-0.00032838456285204,-0.48932576216658,-1.2949465363999,94,20691224.832444,469.4588370917,1467.3,1851.8,-550.66
-0.00032821548147971,-0.48756051377154,-1.3015299115768,93,20581740.753492,468.46047419987,1446.3,1851.7,-537.2
-0.00032789393762265,-0.48583013853632,-1.3075949060626,92,20480531.843053,467.53552293153,1424.6,1851.2,-524.79
-0.00032738049137221,-0.48409032055633,-1.3129262967102,91,20391036.432344,466.71415937885,1402.1,1849.9,-513.86
-0.00032682452967626,-0.4822147299468,-1.3180082186053,90,20305417.158541,465.92872828053,1379.5,1847.8,-503.42
-0.00032626721987484,-0.48018247426227,-1.3230227522051,89,20220726.279935,465.15342264059,1356.9,1845,-493.1
-0.00032570272090993,-0.47806762611149,-1.3279832346808,88,20136798.34539,464.38648549288,1334.3,1841.8,-482.88
-0.00032517198537824,-0.47587981403646,-1.3330485676081,87,20051090.380541,463.60583448295,1311.9,1838.4,-472.44
-0.00032476271742956,-0.47365337120703,-1.3386662688488,86,19956408.71948,462.74855938864,1289.9,1835.4,-460.88
-0.00032450962532737,-0.47130609462986,-1.3448619866931,85,19852304.745185,461.81164926624,1268.6,1832.5,-448.14
-0.00032447214642334,-0.46874580304584,-1.3517994774609,84,19736087.521332,460.77243916017,1248.3,1829.5,-433.88
-0.0003246896845174,-0.46592900078295,-1.3595556409864,83,19606505.136416,459.62068964393,1229.3,1826.3,-417.94
-0.00032516279028011,-0.46298200734038,-1.3681268692008,82,19463726.634835,458.35781110949,1211.8,1823.4,-400.34
-0.00032586581007901,-0.46002311287711,-1.3774351184897,81,19309105.561832,456.99525840893,1195.8,1821.2,-381.25
-0.00032629838836713,-0.4573625656008,-1.3873088981881,80,19145737.86246,455.55897374058,1181.1,1820.8,-361.05
-0.00032547286074829,-0.45480924520195,-1.3977985888184,79,18972991.619514,454.04503170564,1168.3,1821.5,-339.62
-0.00032509894917686,-0.45216981246765,-1.4087946645267,78,18792124.763208,452.46381995908,1157.4,1822.4,-317.16
-0.00032510455756103,-0.4493623542419,-1.4201488229414,77,18605448.945008,450.83524801251,1148.1,1823,-293.96
-0.00032554233695805,-0.44648500361177,-1.4309538349267,76,18414031.415727,449.17863669724,1139.9,1823.2,-270.33
-0.00032643331393068,-0.44364330304808,-1.4402335960138,75,18218717.780867,447.51221783116,1132.2,1822.9,-246.57
