disp_i,disp_j,disp_k,id,pressure,temperature,x,y,z
-0.00038534131428954,-0.64745829711203,-0.97203850878705,112,25296881.986048,510.81660250013,1718.5,2120.5,-1129.23
-0.00038695359785122,-0.64559705549999,-0.98053635498433,111,25204649.214389,509.92423012041,1718.9,2121,-1116.84
-0.00039160039220693,-0.64184776232732,-0.99582316850338,110,25014276.637302,508.14863607738,1719.5,2121.8,-1091.87
-0.00039668209482355,-0.63808372571099,-1.0105345811514,109,24822324.919375,506.37924193873,1720.1,2122.5,-1066.88
-0.00040179407809099,-0.63426033402206,-1.0252361826742,108,24630443.591094,504.61019593468,1720.5,2123,-1041.9
-0.00040698099856193,-0.63046226866915,-1.0399462677053,107,24438423.207069,502.83790383328,1720.3,2123.6,-1016.91
-0.00041189663686103,-0.62661195143932,-1.054622963261,106,24246970.33659,501.07644162119,1721.9,2124,-991.97
-0.00041667166449816,-0.62271086954431,-1.0692659640984,105,24055998.954882,499.32171255756,1724.3,2124.2,-967.08
-0.00042147138960279,-0.6187509745689,-1.0839102353945,104,23864953.252867,497.56564877994,1726.5,2124.2,-942.18
-0.0004264132740363,-0.6147257126423,-1.0985848864241,103,23673386.718175,495.80259086269,1727.9,2124,-917.22
-0.00043145019518923,-0.6106982493956,-1.1132710918708,102,23481610.04674,494.03581199352,1728.7,2123.8,-892.24
-0.00043642350576924,-0.60672675325116,-1.1279621689383,101,23289845.608038,492.26919601571,1729.7,2123.8,-867.26
-0.00044148311696851,-0.60275220611994,-1.1426649573108,100,23097876.959581,490.49934909658,1730.2,2123.8,-842.26
-0.00044655258741743,-0.59883366674837,-1.1573669936992,99,22905950.737085,488.72910824176,1730.5,2124,-817.27
-0.00045152385860317,-0.59504912374817,-1.1720822784112,98,22714012.054117,486.95856085452,1731,2124.7,-792.28
-0.00045644575687868,-0.5913987334679,-1.1867995888242,97,22522178.542597,485.1882010266,1731.4,2125.9,-767.31
-0.0004614390532961,-0.58774348429303,-1.201517771169,96,22330295.601023,483.41665468967,1731.4,2127.1,-742.34
-0.00046645777006062,-0.58405694041857,-1.2162341339955,95,22138404.628813,481.64507782589,1731.3,2128.2,-717.37
-0.0004716563181853,-0.58046031189322,-1.2307613618392,94,21946357.15555,479.87575042461,1731.5,2129.6,-692.41
-0.00048017177914383,-0.57705136095205,-1.2430711181359,93,21751488.729748,478.11861717059,1731.7,2131.1,-667.45
-0.00048874310229436,-0.57353177116336,-1.2553754987151,92,21556553.295922,476.36121271845,1731.8,2132.2,-642.48
-0.00049737857414163,-0.5699535850763,-1.2676847155735,91,21361443.785898,474.60221646056,1731.7,2133.1,-617.49
-0.00050600419350662,-0.56632252698349,-1.2799838592801,90,21166437.357962,472.84457130447,1731.7,2133.8,-592.51
-0.00051457789118423,-0.56268545752024,-1.2922933786726,89,20971299.531191,471.08609613484,1731.9,2134.5,-567.51
