disp_i,disp_j,disp_k,id,pressure,temperature,x,y,z
-0.0002746416994169,-0.56332003828359,-1.0777154554088,133,23957471.623886,500.32801745433,2330.4,1927.1,-946.48
-0.00027621069136269,-0.56281450715558,-1.0787259813598,132,23943912.050662,500.18857203124,2325.9,1926.2,-944.74
-0.00028429939038987,-0.56028229230031,-1.083931800601,131,23874094.299752,499.47144342141,2303,1921.8,-935.78
-0.0002926013398224,-0.55779928945568,-1.0891979533675,130,23803492.681081,498.74716210857,2280,1917.6,-926.72
-0.00030106964247432,-0.55541898885932,-1.0943018085881,129,23735017.904978,498.04361965214,2257,1913.6,-917.94
-0.00030974324390441,-0.55318770578817,-1.099522893261,128,23665060.352376,497.32578326283,2233.9,1910.2,-908.97
-0.00031855153214414,-0.55107608662888,-1.1052148565265,127,23589047.828909,496.550918694,2211,1907.6,-899.21
-0.00032748359437178,-0.54905028701553,-1.1113943033908,126,23506759.949011,495.71747418839,2188.4,1905.7,-888.63
-0.0003365867738575,-0.54712044156542,-1.1176597865962,125,23423389.640855,494.87458683806,2165.9,1904.2,-877.91
-0.00034590207500052,-0.5453065568521,-1.124041697125,124,23338545.453955,494.01821766779,2143.4,1903.2,-867
-0.00035540779341857,-0.5435979507575,-1.1303446594728,123,23254755.69818,493.17254848098,2120.9,1902.5,-856.23
-0.00036517676616954,-0.54185067517405,-1.1364627898665,122,23173323.531924,492.35014039031,2098.2,1901.5,-845.77
-0.00037516986607627,-0.5400348192921,-1.1424067103343,121,23094105.464573,491.54995658972,2075.4,1900.1,-835.6
-0.00038538354744706,-0.53812358465124,-1.148175314188,120,23017104.302365,490.77209063823,2052.5,1898.2,-825.72
-0.00039579310303299,-0.53619339042827,-1.1539192750134,119,22940404.419751,489.99819710351,2029.6,1896.2,-815.88
-0.00040636305024365,-0.53426202219253,-1.1600295106347,118,22858968.30021,489.18109376593,2007,1894.5,-805.42
-0.00041420728490971,-0.53232381947548,-1.1665268929735,117,22771660.919188,488.31212539433,1984.6,1893.1,-794.3
-0.00042084697466957,-0.5303133613336,-1.1732210318802,116,22681374.878701,487.418671779,1962.5,1891.6,-782.84
