time,coldwell_enthalpy_J,coldwell_mass_kg,hotwell_enthalpy_J,hotwell_mass_kg,inj_P_mid,inj_T_mid,is_summer,is_winter,pro_P_mid,pro_T_mid,recovery_rate,step_dt,termination,time,total_energy,total_recovery_time
0,0,0,0,0,11982114.59002,324.33057874981,0,0,11982114.59002,324.33057874981,0,0,0,0,0,0
1000,0,0,0,0,11982116.837661,324.33057846985,1,0,11982131.209209,324.33057854025,0,1000,0,1000,0,0
3000,33013862168.525,147268.08456911,-108854616619.02,-147268.08456911,12383694.567753,336.29192285099,1,0,11536371.851972,324.33430712714,0,2000,0,3000,0,0
7000,66035966485.276,294536.16913821,-217703130097.08,-294536.16913821,12342659.177805,355.85058805563,1,0,11535340.267594,324.34246555413,0,4000,0,7000,0,0
15000,132096937588.7,589072.33827643,-435394105359.51,-589072.33827643,12305474.498668,382.87403582198,1,0,11535489.846621,324.3538836036,0,8000,0,15000,0,0
31000,264253083244.32,1178144.6765529,-870768387659.52,-1178144.6765529,12277419.323133,411.34237520062,1,0,11535734.971883,324.36641426319,0,16000,0,31000,0,0
63000,528613530673.97,2356289.3531057,-1741505586166.8,-2356289.3531057,12255853.657075,431.80389196776,1,0,11536159.310116,324.37667486891,0,32000,0,63000,0,0
127000,1057387042463.6,4712578.7062114,-3482958939510.9,-4712578.7062114,12237343.058,441.28285969939,1,0,11536972.867873,324.38375431565,0,64000,0,127000,0,0
255000,2115040082376.8,9425157.4124228,-6965819504755.1,-9425157.4124228,12219234.961594,444.5401028399,1,0,11538591.127854,324.38979422493,0,128000,0,255000,0,0
511000,4231951620271.6,18850314.824846,-13931437029346,-18850314.824846,12200247.031908,445.73138716183,1,0,11542096.325227,324.41560115261,0,256000,0,511000,0,0
1023000,8575152176644.4,37700629.649691,-27862442296948,-37700629.649691,12179807.281448,446.15501124775,1,0,11554288.893145,325.20929716238,0,512000,0,1023000,0,0
