time,coldwell_enthalpy_J,coldwell_mass_kg,hotwell_enthalpy_J,hotwell_mass_kg,inj_P_mid,inj_T_mid,is_summer,is_winter,pro_P_mid,pro_T_mid,recovery_rate,step_dt,termination,time,total_energy,total_recovery_time
0,0,0,0,0,31131070.577024,351.71138836483,0,0,31131070.577024,351.71138836483,0,0,0,0,0,0
1000,0,0,0,0,31131084.949824,351.71138792279,1,0,31131086.745087,351.71138794503,0,1000,0,1000,0,0
3000,6761706776.2925,19123.814915914,-11014900627.416,-19123.814915914,31341224.903984,352.02744787847,1,0,30920882.430417,351.70870969392,0,2000,0,3000,0,0
7000,13523033021.655,38247.629831828,-22030132471.942,-38247.629831828,31353618.012577,352.64622446084,1,0,30908177.05416,351.70878142675,0,4000,0,7000,0,0
15000,27046068955.944,76495.259663657,-44060312374.569,-76495.259663657,31354327.719661,353.85271373495,1,0,30906336.981123,351.70922693775,0,8000,0,15000,0,0
31000,54092579611.207,152990.51932731,-88120431608.95,-152990.51932731,31352189.882989,356.14888068924,1,0,30906134.847878,351.71011865975,0,16000,0,31000,0,0
63000,108186879477.57,305981.03865463,-176240102643.3,-305981.03865463,31348137.117596,360.31862889721,1,0,30906130.145925,351.71174304665,0,32000,0,63000,0,0
127000,216379644825.71,611962.07730925,-352477831092.03,-611962.07730925,31342024.65211,367.26263622868,1,0,30906136.492443,351.71445336259,0,64000,0,127000,0,0
255000,432777049524.25,1223924.1546185,-704949393785.22,-1223924.1546185,31334341.573233,377.21527110137,1,0,30906152.720043,351.71837487805,0,128000,0,255000,0,0
511000,865598698958.39,2447848.309237,-1409885023447,-2447848.309237,31326383.170682,388.48407654484,1,0,30906196.572403,351.72298907244,0,256000,0,511000,0,0
1023000,1731287839564.6,4895696.618474,-2819744057108,-4895696.618474,31319203.561035,397.69130653617,1,0,30906269.137157,351.72731842617,0,512000,0,1023000,0,0
